model_name,seconds,code_name,caracteristcs,length
meta-llama/Llama-3.1-8B-Instruct,170.1336166858673,ZZAC0,0,181
meta-llama/Llama-3.1-8B-Instruct,168.65948724746704,ZZAC1,1,199
meta-llama/Llama-3.1-8B-Instruct,168.6367220878601,ZZAC2,2,179
meta-llama/Llama-3.1-8B-Instruct,168.84159922599792,ZZAC3,3,203
meta-llama/Llama-3.1-8B-Instruct,26.847667455673218,ZZAC4,4,248
meta-llama/Llama-3.1-8B-Instruct,168.84107494354248,ZZAC5,5,538
meta-llama/Llama-3.1-8B-Instruct,168.48505210876465,ZZAC6,6,855
meta-llama/Llama-3.1-8B-Instruct,168.58172583580017,ZZAC7,7,202
meta-llama/Llama-3.1-8B-Instruct,25.23263168334961,ZZAC8,8,123
meta-llama/Llama-3.1-8B-Instruct,168.51338720321655,ZZAC9,9,274
meta-llama/Llama-3.1-8B-Instruct,168.68761944770813,ZZAC10,10,1
meta-llama/Llama-3.1-8B-Instruct,169.0270721912384,ZZAC11,11,1
meta-llama/Llama-3.1-8B-Instruct,168.50388622283936,ZZAC12,12,64
meta-llama/Llama-3.1-8B-Instruct,168.96128034591675,ZZAC13,13,309
meta-llama/Llama-3.1-8B-Instruct,168.95611476898193,ZZAC14,14,283
meta-llama/Llama-3.1-8B-Instruct,169.4423348903656,ZZAC15,15,308
meta-llama/Llama-3.1-8B-Instruct,169.39541792869568,ZZAC16,16,301
meta-llama/Llama-3.1-8B-Instruct,168.97017240524292,ZZAC17,17,311
meta-llama/Llama-3.1-8B-Instruct,168.9780731201172,ZZAC18,18,322
meta-llama/Llama-3.1-8B-Instruct,168.9717836380005,ZZAC19,19,382
meta-llama/Llama-3.1-8B-Instruct,168.76211190223694,ZZAC20,20,359
