model_name,seconds,code_name,caracteristcs,length,previous_code,folder_id
meta-llama/Meta-Llama-3.1-8B-Instruct,34.941163301467896,AAMU1,12,19,,AAMU
meta-llama/Meta-Llama-3.1-8B-Instruct,3.68006443977356,AAMU2,8,79,AAMU1,AAMU
meta-llama/Meta-Llama-3.1-8B-Instruct,25.504363775253296,AAMU3,12,32,AAMU2,AAMU
meta-llama/Meta-Llama-3.1-8B-Instruct,3.324968338012696,AAMU4,4,76,AAMU3,AAMU
meta-llama/Meta-Llama-3.1-8B-Instruct,12.3043532371521,AAMU5,14,89,AAMU4,AAMU
meta-llama/Meta-Llama-3.1-8B-Instruct,29.177570819854736,AAMU6,13,210,AAMU5,AAMU
meta-llama/Meta-Llama-3.1-8B-Instruct,20.00365948677063,AAMU7,5,262,AAMU6,AAMU
meta-llama/Meta-Llama-3.1-8B-Instruct,16.093249797821045,AAMU8,5,250,AAMU7,AAMU
meta-llama/Meta-Llama-3.1-8B-Instruct,16.786428213119507,AAMU9,4,171,AAMU8,AAMU
meta-llama/Meta-Llama-3.1-8B-Instruct,18.645893812179565,AAMU10,13,294,AAMU9,AAMU
meta-llama/Meta-Llama-3.1-8B-Instruct,2.124257802963257,EZVG1,4,41,,EZVG
meta-llama/Meta-Llama-3.1-8B-Instruct,32.51532769203186,EZVG2,14,94,EZVG1,EZVG
meta-llama/Meta-Llama-3.1-8B-Instruct,10.023208856582642,EZVG3,2,194,EZVG2,EZVG
meta-llama/Meta-Llama-3.1-8B-Instruct,21.450390577316284,EZVG4,10,67,EZVG3,EZVG
meta-llama/Meta-Llama-3.1-8B-Instruct,6.7918314933776855,EZVG5,2,94,EZVG4,EZVG
meta-llama/Meta-Llama-3.1-8B-Instruct,6.38275671005249,EZVG6,8,152,EZVG5,EZVG
meta-llama/Meta-Llama-3.1-8B-Instruct,23.550631284713745,EZVG7,6,252,EZVG6,EZVG
meta-llama/Meta-Llama-3.1-8B-Instruct,16.425983667373657,EZVG8,14,351,EZVG7,EZVG
meta-llama/Meta-Llama-3.1-8B-Instruct,35.15130615234375,NDVV1,9,113,,NDVV
meta-llama/Meta-Llama-3.1-8B-Instruct,27.30268287658692,NDVV2,9,98,NDVV1,NDVV
meta-llama/Meta-Llama-3.1-8B-Instruct,28.235775232315063,NDVV3,7,157,NDVV2,NDVV
meta-llama/Meta-Llama-3.1-8B-Instruct,24.01770520210266,NDVV4,8,200,NDVV3,NDVV
meta-llama/Meta-Llama-3.1-8B-Instruct,14.082135200500488,NDVV5,13,115,NDVV4,NDVV
meta-llama/Meta-Llama-3.1-8B-Instruct,8.320554256439209,NDVV6,8,211,NDVV5,NDVV
meta-llama/Meta-Llama-3.1-8B-Instruct,19.824955940246586,NDVV7,5,180,NDVV6,NDVV
meta-llama/Meta-Llama-3.1-8B-Instruct,10.552806854248049,NDVV8,14,181,NDVV7,NDVV
meta-llama/Meta-Llama-3.1-8B-Instruct,20.58173441886902,NDVV9,3,211,NDVV8,NDVV
meta-llama/Meta-Llama-3.1-8B-Instruct,8.743719100952148,NDVV10,14,217,NDVV9,NDVV
meta-llama/Meta-Llama-3.1-8B-Instruct,18.13783812522888,NDVV11,9,211,NDVV10,NDVV
meta-llama/Meta-Llama-3.1-8B-Instruct,16.591412782669067,URSQ1,14,19,,URSQ
