model_name,seconds,code_name,caracteristcs,length
deepseek-ai/DeepSeek-Coder-V2-Lite-Instruct,26.43686962127685,ZW5N,164,284
deepseek-ai/DeepSeek-Coder-V2-Lite-Instruct,21.73287677764893,A09T,256,233
deepseek-ai/DeepSeek-Coder-V2-Lite-Instruct,22.14807629585266,N5QI,247,240
deepseek-ai/DeepSeek-Coder-V2-Lite-Instruct,27.05457329750061,NZWN,84,297
deepseek-ai/DeepSeek-Coder-V2-Lite-Instruct,26.95696926116944,CLVX,265,293
deepseek-ai/DeepSeek-Coder-V2-Lite-Instruct,25.692174434661865,ICFM,33,281
deepseek-ai/DeepSeek-Coder-V2-Lite-Instruct,23.0207417011261,4KXK,93,251
deepseek-ai/DeepSeek-Coder-V2-Lite-Instruct,26.843819618225098,CVMS,266,294
deepseek-ai/DeepSeek-Coder-V2-Lite-Instruct,26.36759996414185,BAF0,148,289
deepseek-ai/DeepSeek-Coder-V2-Lite-Instruct,27.1695523262024,TLSL,122,297
deepseek-ai/DeepSeek-Coder-V2-Lite-Instruct,83.46518421173096,818X,166,882
deepseek-ai/DeepSeek-Coder-V2-Lite-Instruct,9.180267572402954,AHT9,1,93
deepseek-ai/DeepSeek-Coder-V2-Lite-Instruct,8.27130651473999,SLMD,1,83
deepseek-ai/DeepSeek-Coder-V2-Lite-Instruct,23.926262140274048,C56M,1,257
deepseek-ai/DeepSeek-Coder-V2-Lite-Instruct,21.260279417037964,KHLD,68,231
deepseek-ai/DeepSeek-Coder-V2-Lite-Instruct,22.44991517066956,Z4HI,20,246
deepseek-ai/DeepSeek-Coder-V2-Lite-Instruct,21.06250834465027,RGOS,41,229
deepseek-ai/DeepSeek-Coder-V2-Lite-Instruct,21.165928602218628,7IJR,253,229
deepseek-ai/DeepSeek-Coder-V2-Lite-Instruct,19.7637267112732,ELAL,179,214
deepseek-ai/DeepSeek-Coder-V2-Lite-Instruct,20.91804552078247,7LVB,43,229
deepseek-ai/DeepSeek-Coder-V2-Lite-Instruct,20.8684356212616,SFMS,213,227
deepseek-ai/DeepSeek-Coder-V2-Lite-Instruct,21.33932614326477,DA06,38,234
deepseek-ai/DeepSeek-Coder-V2-Lite-Instruct,21.00391697883606,DY09,263,229
deepseek-ai/DeepSeek-Coder-V2-Lite-Instruct,21.090409517288208,8BHA,226,229
deepseek-ai/DeepSeek-Coder-V2-Lite-Instruct,20.94797134399414,YAAJ,88,227
deepseek-ai/DeepSeek-Coder-V2-Lite-Instruct,33.165767669677734,6A1I,257,369
deepseek-ai/DeepSeek-Coder-V2-Lite-Instruct,23.61742472648621,615G,41,260
deepseek-ai/DeepSeek-Coder-V2-Lite-Instruct,26.34333109855652,A88F,122,289
deepseek-ai/DeepSeek-Coder-V2-Lite-Instruct,20.585718154907227,EUHP,272,222
deepseek-ai/DeepSeek-Coder-V2-Lite-Instruct,21.13521456718445,948C,2,229
deepseek-ai/DeepSeek-Coder-V2-Lite-Instruct,20.857259273529053,YXDX,228,225
deepseek-ai/DeepSeek-Coder-V2-Lite-Instruct,21.10058832168579,HPYU,240,229
deepseek-ai/DeepSeek-Coder-V2-Lite-Instruct,20.85735058784485,IX0B,277,227
deepseek-ai/DeepSeek-Coder-V2-Lite-Instruct,21.387247562408447,RK05,101,229
deepseek-ai/DeepSeek-Coder-V2-Lite-Instruct,21.441475868225098,ACPI,276,229
deepseek-ai/DeepSeek-Coder-V2-Lite-Instruct,20.012057065963745,FIBD,275,215
deepseek-ai/DeepSeek-Coder-V2-Lite-Instruct,34.99400448799133,54A4,216,386
deepseek-ai/DeepSeek-Coder-V2-Lite-Instruct,17.903209924697876,ORZ7,122,192
deepseek-ai/DeepSeek-Coder-V2-Lite-Instruct,23.26864266395569,88D8,44,231
deepseek-ai/DeepSeek-Coder-V2-Lite-Instruct,21.20136332511902,HTUB,245,229
deepseek-ai/DeepSeek-Coder-V2-Lite-Instruct,21.070013284683228,LJRH,50,227
deepseek-ai/DeepSeek-Coder-V2-Lite-Instruct,24.067923307418823,9465,219,241
deepseek-ai/DeepSeek-Coder-V2-Lite-Instruct,21.061668395996094,X586,32,229
deepseek-ai/DeepSeek-Coder-V2-Lite-Instruct,21.70682168006897,JXJE,237,237
deepseek-ai/DeepSeek-Coder-V2-Lite-Instruct,30.77873396873474,GBCD,269,341
deepseek-ai/DeepSeek-Coder-V2-Lite-Instruct,21.08447265625,FF8V,85,229
deepseek-ai/DeepSeek-Coder-V2-Lite-Instruct,21.5097918510437,8KFZ,197,234
deepseek-ai/DeepSeek-Coder-V2-Lite-Instruct,23.88813328742981,2F9O,186,260
deepseek-ai/DeepSeek-Coder-V2-Lite-Instruct,25.24327778816223,MES1,126,275
deepseek-ai/DeepSeek-Coder-V2-Lite-Instruct,24.595086812973022,QS2S,216,269
deepseek-ai/DeepSeek-Coder-V2-Lite-Instruct,20.71551537513733,T91F,100,223
deepseek-ai/DeepSeek-Coder-V2-Lite-Instruct,23.53502368927002,HECO,196,257
deepseek-ai/DeepSeek-Coder-V2-Lite-Instruct,139.83998894691467,NEMU,118,1440
deepseek-ai/DeepSeek-Coder-V2-Lite-Instruct,22.56986188888549,70UW,279,246
meta-llama/Meta-Llama-3.1-8B-Instruct,262.96170020103455,L9IJ,1,329
