model_name,seconds,code_name,caracteristcs,length,previous_code,folder_id
deepseek-ai/DeepSeek-Coder-V2-Lite-Instruct,10.18117904663086,DDRA1,7,90,,DDRA
deepseek-ai/DeepSeek-Coder-V2-Lite-Instruct,23.66766858100891,DDRA2,8,182,DDRA1,DDRA
deepseek-ai/DeepSeek-Coder-V2-Lite-Instruct,17.03301692008972,DDRA3,14,187,DDRA2,DDRA
deepseek-ai/DeepSeek-Coder-V2-Lite-Instruct,18.478413820266724,DDRA4,2,205,DDRA3,DDRA
deepseek-ai/DeepSeek-Coder-V2-Lite-Instruct,5.099122762680054,EFDU1,9,48,,EFDU
deepseek-ai/DeepSeek-Coder-V2-Lite-Instruct,9.652908325195312,EFDU2,4,77,EFDU1,EFDU
deepseek-ai/DeepSeek-Coder-V2-Lite-Instruct,11.814218282699583,EFDU3,8,110,EFDU2,EFDU
deepseek-ai/DeepSeek-Coder-V2-Lite-Instruct,4.085497140884399,LQNZ1,1,36,,LQNZ
deepseek-ai/DeepSeek-Coder-V2-Lite-Instruct,5.494959115982056,LQNZ2,9,44,LQNZ1,LQNZ
deepseek-ai/DeepSeek-Coder-V2-Lite-Instruct,11.972732782363892,LQNZ3,2,60,LQNZ2,LQNZ
deepseek-ai/DeepSeek-Coder-V2-Lite-Instruct,14.78321647644043,LQNZ4,8,159,LQNZ3,LQNZ
deepseek-ai/DeepSeek-Coder-V2-Lite-Instruct,15.174665451049805,LQNZ5,14,164,LQNZ4,LQNZ
deepseek-ai/DeepSeek-Coder-V2-Lite-Instruct,78.47298288345337,SJLS1,5,70,,SJLS
deepseek-ai/DeepSeek-Coder-V2-Lite-Instruct,11.720364093780518,SJLS2,12,69,SJLS1,SJLS
deepseek-ai/DeepSeek-Coder-V2-Lite-Instruct,19.05304265022278,SJLS3,6,125,SJLS2,SJLS
deepseek-ai/DeepSeek-Coder-V2-Lite-Instruct,12.513038635253906,SJLS4,14,125,SJLS3,SJLS
deepseek-ai/DeepSeek-Coder-V2-Lite-Instruct,14.89923620223999,SJLS5,5,130,SJLS4,SJLS
deepseek-ai/DeepSeek-Coder-V2-Lite-Instruct,13.226136922836304,SJLS6,12,128,SJLS5,SJLS
deepseek-ai/DeepSeek-Coder-V2-Lite-Instruct,4.577011823654175,AFKX1,10,42,,AFKX
deepseek-ai/DeepSeek-Coder-V2-Lite-Instruct,73.28280472755432,AFKX2,4,74,AFKX1,AFKX
deepseek-ai/DeepSeek-Coder-V2-Lite-Instruct,7.305028438568115,AFKX3,13,69,AFKX2,AFKX
deepseek-ai/DeepSeek-Coder-V2-Lite-Instruct,15.554038763046265,AFKX4,8,152,AFKX3,AFKX
deepseek-ai/DeepSeek-Coder-V2-Lite-Instruct,4.575082540512085,EGED1,10,42,,EGED
deepseek-ai/DeepSeek-Coder-V2-Lite-Instruct,32.29284429550171,EGED2,4,80,EGED1,EGED
deepseek-ai/DeepSeek-Coder-V2-Lite-Instruct,11.93847131729126,EGED3,6,110,EGED2,EGED
deepseek-ai/DeepSeek-Coder-V2-Lite-Instruct,20.61713814735413,LYMA1,4,58,,LYMA
deepseek-ai/DeepSeek-Coder-V2-Lite-Instruct,11.147295951843262,LYMA2,11,58,LYMA1,LYMA
