folder_id,file,compiler,version,optimization,bin_min_size,bin_max_size,bin_mean_size,time
UITD,UITD1.c,gcc,9,-O0,1448,1448,1448.0,1.6711108684539795
UITD,UITD1.c,gcc,9,-O1,1444,1444,1444.0,2.0412347316741943
UITD,UITD1.c,gcc,9,-O2,1438,1438,1438.0,1.930135488510132
UITD,UITD1.c,gcc,9,-O3,1438,1438,1438.0,1.7719604969024658
UITD,UITD1.c,gcc,9,-Os,1431,1431,1431.0,1.9626922607421875
UITD,UITD1.c,gcc,9,-Ofast,1522,1522,1522.0,1.7919113636016846
UITD,UITD1.c,gcc,10,-O0,1448,1448,1448.0,1.7467284202575684
UITD,UITD1.c,gcc,10,-O1,1444,1444,1444.0,1.8414928913116453
UITD,UITD1.c,gcc,10,-O2,1438,1438,1438.0,1.7543485164642334
UITD,UITD1.c,gcc,10,-O3,1438,1438,1438.0,1.7789039611816406
UITD,UITD1.c,gcc,10,-Os,1431,1431,1431.0,1.882936954498291
UITD,UITD1.c,gcc,10,-Ofast,1522,1522,1522.0,1.887397527694702
UITD,UITD1.c,gcc,11,-O0,1451,1451,1451.0,1.9916563034057613
UITD,UITD1.c,gcc,11,-O1,1444,1444,1444.0,1.716766595840454
UITD,UITD1.c,gcc,11,-O2,1438,1438,1438.0,1.8614749908447263
UITD,UITD1.c,gcc,11,-O3,1438,1438,1438.0,2.1496989727020264
UITD,UITD1.c,gcc,11,-Os,1431,1431,1431.0,1.930091142654419
UITD,UITD1.c,gcc,11,-Ofast,1522,1522,1522.0,2.302923679351806
UITD,UITD1.c,gcc,12,-O0,1451,1451,1451.0,2.305056095123291
UITD,UITD1.c,gcc,12,-O1,1444,1444,1444.0,1.9916648864746087
UITD,UITD1.c,gcc,12,-O2,1438,1438,1438.0,1.941691875457764
UITD,UITD1.c,gcc,12,-O3,1438,1438,1438.0,2.3798165321350098
UITD,UITD1.c,gcc,12,-Os,1431,1431,1431.0,2.4316654205322266
UITD,UITD1.c,gcc,12,-Ofast,1522,1522,1522.0,2.463308334350586
KBFQ,KBFQ1.c,gcc,9,-O0,1454,1454,1454.0,1.842313766479492
KBFQ,KBFQ1.c,gcc,9,-O1,1445,1445,1445.0,2.1139137744903564
KBFQ,KBFQ1.c,gcc,9,-O2,1439,1439,1439.0,1.8919541835784912
KBFQ,KBFQ1.c,gcc,9,-O3,1439,1439,1439.0,1.8258347511291504
KBFQ,KBFQ1.c,gcc,9,-Os,1432,1432,1432.0,2.16231107711792
KBFQ,KBFQ1.c,gcc,9,-Ofast,1523,1523,1523.0,2.015524387359619
KBFQ,KBFQ1.c,gcc,10,-O0,1454,1454,1454.0,1.916440725326538
KBFQ,KBFQ1.c,gcc,10,-O1,1445,1445,1445.0,2.0481765270233154
KBFQ,KBFQ1.c,gcc,10,-O2,1439,1439,1439.0,2.11301589012146
KBFQ,KBFQ1.c,gcc,10,-O3,1439,1439,1439.0,2.006887197494507
KBFQ,KBFQ1.c,gcc,10,-Os,1432,1432,1432.0,1.9790585041046145
KBFQ,KBFQ1.c,gcc,10,-Ofast,1523,1523,1523.0,2.063584089279175
KBFQ,KBFQ1.c,gcc,11,-O0,1457,1457,1457.0,2.0534825325012207
KBFQ,KBFQ1.c,gcc,11,-O1,1445,1445,1445.0,2.283619403839112
KBFQ,KBFQ1.c,gcc,11,-O2,1439,1439,1439.0,2.002638101577759
KBFQ,KBFQ1.c,gcc,11,-O3,1439,1439,1439.0,2.242039918899536
KBFQ,KBFQ1.c,gcc,11,-Os,1432,1432,1432.0,2.147075891494751
KBFQ,KBFQ1.c,gcc,11,-Ofast,1523,1523,1523.0,2.1524338722229004
KBFQ,KBFQ1.c,gcc,12,-O0,1457,1457,1457.0,1.9943320751190183
KBFQ,KBFQ1.c,gcc,12,-O1,1445,1445,1445.0,2.26924729347229
KBFQ,KBFQ1.c,gcc,12,-O2,1439,1439,1439.0,2.400564432144165
KBFQ,KBFQ1.c,gcc,12,-O3,1439,1439,1439.0,2.223984241485596
