model_name,seconds,code_name,caracteristcs,length
meta-llama/CodeLlama-13b-Instruct-hf,38.90412402153015,2X8M,11,-1
meta-llama/CodeLlama-13b-Instruct-hf,38.948033571243286,0DLH,13,-1
meta-llama/CodeLlama-13b-Instruct-hf,38.33643770217896,UD8M,4,58
meta-llama/CodeLlama-13b-Instruct-hf,38.83244252204895,5QVY,13,-1
meta-llama/CodeLlama-13b-Instruct-hf,38.69947266578674,D0D8,3,42
meta-llama/CodeLlama-13b-Instruct-hf,6.7940993309021,CVV7,14,25
meta-llama/CodeLlama-13b-Instruct-hf,38.974496603012085,2PWT,12,-1
meta-llama/CodeLlama-13b-Instruct-hf,6.745773792266846,R5QJ,14,25
meta-llama/CodeLlama-13b-Instruct-hf,38.34812998771668,FUMP,2,57
meta-llama/CodeLlama-13b-Instruct-hf,38.58267140388489,ZTQC,3,42
meta-llama/CodeLlama-13b-Instruct-hf,38.4292471408844,DUQ3,6,42
meta-llama/CodeLlama-13b-Instruct-hf,38.51718521118164,MIJX,5,86
meta-llama/CodeLlama-13b-Instruct-hf,38.78832602500916,A4NA,7,108
meta-llama/CodeLlama-13b-Instruct-hf,38.85065245628357,DTXN,10,-1
meta-llama/CodeLlama-13b-Instruct-hf,38.47588920593262,CGTI,6,42
meta-llama/CodeLlama-13b-Instruct-hf,38.74567413330078,Q3FR,3,42
meta-llama/CodeLlama-13b-Instruct-hf,38.592501163482666,94B4,7,108
meta-llama/CodeLlama-13b-Instruct-hf,38.40012431144714,IUOP,2,57
meta-llama/CodeLlama-13b-Instruct-hf,39.13400626182556,HG3L,13,-1
meta-llama/CodeLlama-13b-Instruct-hf,38.620672941207886,ET01,7,108
meta-llama/CodeLlama-13b-Instruct-hf,83.33201384544373,DUXN,10,-1
meta-llama/CodeLlama-13b-Instruct-hf,6.8081488609313965,VP68,14,25
meta-llama/CodeLlama-13b-Instruct-hf,83.60057806968689,4AP0,12,-1
meta-llama/CodeLlama-13b-Instruct-hf,83.12806439399719,6XLX,7,108
meta-llama/CodeLlama-13b-Instruct-hf,83.46672677993774,NPKS,1,42
meta-llama/CodeLlama-13b-Instruct-hf,82.82954216003418,CJCM,7,108
meta-llama/CodeLlama-13b-Instruct-hf,82.73899412155151,V75M,10,-1
meta-llama/CodeLlama-13b-Instruct-hf,82.83322072029114,CCEL,8,-1
meta-llama/CodeLlama-13b-Instruct-hf,83.2671709060669,UNL3,4,58
meta-llama/CodeLlama-13b-Instruct-hf,6.78280782699585,A4M5,14,25
meta-llama/CodeLlama-13b-Instruct-hf,83.04977989196777,T7JY,1,42
