file,compiler,version,optimization,bin_min_size,bin_max_size,bin_mean_size,time
132M,gcc,9,-O0,1435,1435,1435.0,1.5783889293670654
132M,gcc,9,-O1,1441,1441,1441.0,1.8550693988800049
132M,gcc,9,-O2,1433,1433,1433.0,1.7630281448364258
132M,gcc,9,-O3,1433,1433,1433.0,1.910566806793213
132M,gcc,9,-Os,1426,1426,1426.0,1.910484790802002
132M,gcc,9,-Ofast,1517,1517,1517.0,1.9812004566192627
132M,gcc,10,-O0,1435,1435,1435.0,1.8953323364257808
132M,gcc,10,-O1,1441,1441,1441.0,2.105281352996826
132M,gcc,10,-O2,1433,1433,1433.0,2.021078824996948
132M,gcc,10,-O3,1433,1433,1433.0,1.9818291664123533
132M,gcc,10,-Os,1426,1426,1426.0,1.8706614971160889
132M,gcc,10,-Ofast,1517,1517,1517.0,1.9888668060302728
132M,gcc,11,-O0,1438,1438,1438.0,1.8410849571228027
132M,gcc,11,-O1,1441,1441,1441.0,2.0330045223236084
132M,gcc,11,-O2,1433,1433,1433.0,2.0978872776031494
132M,gcc,11,-O3,1433,1433,1433.0,2.08696722984314
132M,gcc,11,-Os,1426,1426,1426.0,1.977539300918579
132M,gcc,11,-Ofast,1517,1517,1517.0,2.0178236961364746
132M,gcc,12,-O0,1438,1438,1438.0,2.1746554374694824
132M,gcc,12,-O1,1441,1441,1441.0,2.096972703933716
132M,gcc,12,-O2,1433,1433,1433.0,2.118624210357666
132M,gcc,12,-O3,1433,1433,1433.0,2.1399731636047363
132M,gcc,12,-Os,1426,1426,1426.0,2.278655767440796
132M,gcc,12,-Ofast,1517,1517,1517.0,2.23389196395874
1RV9,gcc,9,-O0,1435,1435,1435.0,1.7273797988891602
1RV9,gcc,9,-O1,1441,1441,1441.0,1.879680871963501
1RV9,gcc,9,-O2,1433,1433,1433.0,2.0699117183685303
1RV9,gcc,9,-O3,1433,1433,1433.0,2.013062000274658
1RV9,gcc,9,-Os,1426,1426,1426.0,2.01959228515625
1RV9,gcc,9,-Ofast,1517,1517,1517.0,1.9520974159240725
1RV9,gcc,10,-O0,1435,1435,1435.0,1.93548583984375
1RV9,gcc,10,-O1,1441,1441,1441.0,2.0569958686828613
1RV9,gcc,10,-O2,1433,1433,1433.0,2.090590715408325
1RV9,gcc,10,-O3,1433,1433,1433.0,2.001556158065796
1RV9,gcc,10,-Os,1426,1426,1426.0,2.0381906032562256
1RV9,gcc,10,-Ofast,1517,1517,1517.0,2.054638862609864
1RV9,gcc,11,-O0,1438,1438,1438.0,1.8740522861480715
1RV9,gcc,11,-O1,1441,1441,1441.0,1.990189552307129
1RV9,gcc,11,-O2,1433,1433,1433.0,2.165455818176269
1RV9,gcc,11,-O3,1433,1433,1433.0,2.0721969604492188
1RV9,gcc,11,-Os,1426,1426,1426.0,2.093229293823242
1RV9,gcc,11,-Ofast,1517,1517,1517.0,1.9474072456359863
1RV9,gcc,12,-O0,1438,1438,1438.0,2.0219521522521973
1RV9,gcc,12,-O1,1441,1441,1441.0,2.1135683059692383
1RV9,gcc,12,-O2,1433,1433,1433.0,2.280842065811157
1RV9,gcc,12,-O3,1433,1433,1433.0,2.2487266063690186
1RV9,gcc,12,-Os,1426,1426,1426.0,2.307424783706665
1RV9,gcc,12,-Ofast,1517,1517,1517.0,2.1953365802764893
5885,gcc,9,-O0,1435,1435,1435.0,1.84299635887146
5885,gcc,9,-O1,1441,1441,1441.0,1.9777746200561523
5885,gcc,9,-O2,1433,1433,1433.0,2.018840074539185
5885,gcc,9,-O3,1433,1433,1433.0,2.0334439277648926
5885,gcc,9,-Os,1426,1426,1426.0,1.932847499847412
5885,gcc,9,-Ofast,1517,1517,1517.0,2.05985689163208
5885,gcc,10,-O0,1435,1435,1435.0,1.855870008468628
5885,gcc,10,-O1,1441,1441,1441.0,1.9025037288665767
5885,gcc,10,-O2,1433,1433,1433.0,1.989384651184082
5885,gcc,10,-O3,1433,1433,1433.0,2.2099764347076416
5885,gcc,10,-Os,1426,1426,1426.0,2.0683302879333496
5885,gcc,10,-Ofast,1517,1517,1517.0,2.1978118419647217
5885,gcc,11,-O0,1438,1438,1438.0,1.9190568923950195
5885,gcc,11,-O1,1441,1441,1441.0,2.123907327651977
5885,gcc,11,-O2,1433,1433,1433.0,2.0598738193511963
5885,gcc,11,-O3,1433,1433,1433.0,2.0639116764068604
5885,gcc,11,-Os,1426,1426,1426.0,2.104676961898804
5885,gcc,11,-Ofast,1517,1517,1517.0,2.0795040130615234
5885,gcc,12,-O0,1438,1438,1438.0,1.9751183986663816
5885,gcc,12,-O1,1441,1441,1441.0,2.182295322418213
5885,gcc,12,-O2,1433,1433,1433.0,2.2027788162231445
