model_name,seconds,code_name,caracteristcs,length,previous_code,folder_id
meta-llama/CodeLlama-7b-hf,30.60939741134644,RIVQ1,1,46,,RIVQ
meta-llama/CodeLlama-7b-hf,30.209499835968018,GGEC1,1,46,,GGEC
meta-llama/CodeLlama-7b-hf,30.375636339187626,QPRP1,10,58,,QPRP
meta-llama/CodeLlama-7b-hf,30.36518955230713,OQXX1,1,46,,OQXX
meta-llama/CodeLlama-7b-hf,30.473602294921875,BKPC1,10,58,,BKPC
meta-llama/CodeLlama-7b-hf,30.448363542556763,KVHS1,10,58,,KVHS
meta-llama/CodeLlama-7b-hf,30.522619247436523,EDLM1,1,46,,EDLM
meta-llama/CodeLlama-7b-hf,29.844029426574707,UWZA1,1,46,,UWZA
meta-llama/CodeLlama-7b-hf,29.66500306129456,SHXE1,1,46,,SHXE
meta-llama/CodeLlama-7b-hf,29.828779697418213,BVQY1,10,58,,BVQY
meta-llama/CodeLlama-7b-hf,29.527169227600098,HZNF1,10,58,,HZNF
meta-llama/CodeLlama-7b-hf,29.556309461593628,RHYH1,1,46,,RHYH
