file,compiler,version,optimization,bin_min_size,bin_max_size,bin_mean_size,time
0KUV,gcc,9,-O0,1521,1521,1521.0,3.8619327545166016
0KUV,gcc,9,-O1,1493,1493,1493.0,2.230891704559326
0KUV,gcc,9,-O2,1475,1475,1475.0,2.068476915359497
0KUV,gcc,9,-O3,1475,1475,1475.0,2.1201250553131104
0KUV,gcc,9,-Os,1462,1462,1462.0,1.9043793678283687
0KUV,gcc,9,-Ofast,1559,1559,1559.0,2.020299434661865
0KUV,gcc,10,-O0,1514,1514,1514.0,3.072256803512573
0KUV,gcc,10,-O1,1496,1496,1496.0,2.1449944972991943
0KUV,gcc,10,-O2,1480,1480,1480.0,2.1659247875213623
0KUV,gcc,10,-O3,1480,1480,1480.0,1.8552367687225344
0KUV,gcc,10,-Os,1462,1462,1462.0,1.7963883876800537
0KUV,gcc,10,-Ofast,1564,1564,1564.0,1.8171586990356443
0KUV,gcc,11,-O0,1517,1517,1517.0,2.2515580654144287
0KUV,gcc,11,-O1,1496,1496,1496.0,2.048755168914795
0KUV,gcc,11,-O2,1480,1480,1480.0,1.845507860183716
0KUV,gcc,11,-O3,1480,1480,1480.0,2.1149682998657227
0KUV,gcc,11,-Os,1462,1462,1462.0,2.0181145668029785
0KUV,gcc,11,-Ofast,1564,1564,1564.0,2.043318271636963
0KUV,gcc,12,-O0,1520,1520,1520.0,4.166710376739502
0KUV,gcc,12,-O1,1487,1487,1487.0,2.223421335220337
0KUV,gcc,12,-O2,1474,1474,1474.0,2.311107873916626
0KUV,gcc,12,-O3,1474,1474,1474.0,2.361541986465454
0KUV,gcc,12,-Os,1458,1458,1458.0,1.9212067127227783
0KUV,gcc,12,-Ofast,1558,1558,1558.0,2.112920045852661
0O9U,gcc,9,-O0,1453,1453,1453.0,1.6114614009857178
0O9U,gcc,9,-O1,1441,1441,1441.0,1.869468212127685
0O9U,gcc,9,-O2,1433,1433,1433.0,1.990731239318848
0O9U,gcc,9,-O3,1433,1433,1433.0,1.9372634887695312
0O9U,gcc,9,-Os,1426,1426,1426.0,1.9028308391571045
0O9U,gcc,9,-Ofast,1517,1517,1517.0,2.005599975585937
0O9U,gcc,10,-O0,1453,1453,1453.0,1.925908088684082
0O9U,gcc,10,-O1,1441,1441,1441.0,2.0205256938934326
0O9U,gcc,10,-O2,1433,1433,1433.0,2.165518522262573
0O9U,gcc,10,-O3,1433,1433,1433.0,1.9983251094818115
0O9U,gcc,10,-Os,1426,1426,1426.0,1.9758117198944087
0O9U,gcc,10,-Ofast,1517,1517,1517.0,2.0229220390319824
0O9U,gcc,11,-O0,1456,1456,1456.0,1.9501886367797847
0O9U,gcc,11,-O1,1441,1441,1441.0,1.9958961009979248
0O9U,gcc,11,-O2,1433,1433,1433.0,2.01851487159729
0O9U,gcc,11,-O3,1433,1433,1433.0,2.080617666244507
0O9U,gcc,11,-Os,1426,1426,1426.0,1.9879045486450195
0O9U,gcc,11,-Ofast,1517,1517,1517.0,2.091599702835083
0O9U,gcc,12,-O0,1456,1456,1456.0,2.0404577255249023
0O9U,gcc,12,-O1,1441,1441,1441.0,2.103247880935669
0O9U,gcc,12,-O2,1433,1433,1433.0,2.137551784515381
0O9U,gcc,12,-O3,1433,1433,1433.0,1.9874181747436523
0O9U,gcc,12,-Os,1426,1426,1426.0,2.0736780166625977
0O9U,gcc,12,-Ofast,1517,1517,1517.0,2.176600933074951
1ECA,gcc,9,-O0,1446,1446,1446.0,1.7152950763702393
1ECA,gcc,9,-O1,1446,1446,1446.0,1.8498995304107664
1ECA,gcc,9,-O2,1441,1441,1441.0,1.669477939605713
1ECA,gcc,9,-O3,1441,1441,1441.0,1.9468004703521729
1ECA,gcc,9,-Os,1434,1434,1434.0,1.9043586254119875
1ECA,gcc,9,-Ofast,1525,1525,1525.0,1.9286575317382808
1ECA,gcc,10,-O0,1446,1446,1446.0,1.795335292816162
1ECA,gcc,10,-O1,1446,1446,1446.0,1.9325809478759768
1ECA,gcc,10,-O2,1441,1441,1441.0,1.7304658889770508
1ECA,gcc,10,-O3,1441,1441,1441.0,1.8855483531951904
1ECA,gcc,10,-Os,1434,1434,1434.0,1.7107038497924805
1ECA,gcc,10,-Ofast,1525,1525,1525.0,2.010612964630127
1ECA,gcc,11,-O0,1449,1449,1449.0,1.9440062046051023
1ECA,gcc,11,-O1,1446,1446,1446.0,2.056896924972534
1ECA,gcc,11,-O2,1438,1438,1438.0,2.0895628929138184
1ECA,gcc,11,-O3,1438,1438,1438.0,2.0198092460632324
1ECA,gcc,11,-Os,1431,1431,1431.0,2.023321866989136
1ECA,gcc,11,-Ofast,1522,1522,1522.0,2.123046636581421
1ECA,gcc,12,-O0,1449,1449,1449.0,2.027409553527832
1ECA,gcc,12,-O1,1446,1446,1446.0,2.218624353408813
1ECA,gcc,12,-O2,1438,1438,1438.0,2.0794193744659424
1ECA,gcc,12,-O3,1438,1438,1438.0,1.9806993007659912
