model_name,seconds,code_name,caracteristcs,length
eepseek-ai/DeepSeek-R1-Distill-Llama-8B,35.15122127532959,TW0T,2,57
deepseek-ai/DeepSeek-R1-Distill-Llama-8B,35.55441093444824,IO94,11,-1
deepseek-ai/DeepSeek-R1-Distill-Llama-8B,35.47058176994324,UNMY,13,-1
deepseek-ai/DeepSeek-R1-Distill-Llama-8B,35.190489530563354,IGV4,6,-1
deepseek-ai/DeepSeek-R1-Distill-Llama-8B,34.93564462661743,B8TW,7,-1
deepseek-ai/DeepSeek-R1-Distill-Llama-8B,23.009275436401367,AYV5,8,31
deepseek-ai/DeepSeek-R1-Distill-Llama-8B,32.29451775550842,VJYM,6,45
deepseek-ai/DeepSeek-R1-Distill-Llama-8B,35.152552127838135,ZGNS,4,-1
deepseek-ai/DeepSeek-R1-Distill-Llama-8B,35.200780153274536,2KN6,3,29
deepseek-ai/DeepSeek-R1-Distill-Llama-8B,35.353556394577026,912N,7,-1
deepseek-ai/DeepSeek-R1-Distill-Llama-8B,35.18965148925781,191K,5,-1
deepseek-ai/DeepSeek-R1-Distill-Llama-8B,35.343799114227295,56UW,13,-1
deepseek-ai/DeepSeek-R1-Distill-Llama-8B,17.00761365890503,A3MK,12,15
deepseek-ai/DeepSeek-R1-Distill-Llama-8B,30.42074680328369,3R2L,2,58
deepseek-ai/DeepSeek-R1-Distill-Llama-8B,29.35541868209839,KMBS,4,38
deepseek-ai/DeepSeek-R1-Distill-Llama-8B,27.28360652923584,U87I,13,51
deepseek-ai/DeepSeek-R1-Distill-Llama-8B,22.244046688079838,4ND9,2,57
deepseek-ai/DeepSeek-R1-Distill-Llama-8B,35.101113080978394,75ER,5,-1
deepseek-ai/DeepSeek-R1-Distill-Llama-8B,34.9414963722229,NZYX,14,-1
deepseek-ai/DeepSeek-R1-Distill-Llama-8B,35.11749768257141,YY0U,10,-1
deepseek-ai/DeepSeek-R1-Distill-Llama-8B,27.849055290222168,L8AJ,10,53
deepseek-ai/DeepSeek-R1-Distill-Llama-8B,17.623095512390137,PXCJ,1,34
deepseek-ai/DeepSeek-R1-Distill-Llama-8B,48.83744978904724,SQO8,6,-1
deepseek-ai/DeepSeek-R1-Distill-Llama-8B,22.11693739891052,I5H2,10,25
deepseek-ai/DeepSeek-R1-Distill-Llama-8B,73.82402396202087,WPVC,10,27
deepseek-ai/DeepSeek-R1-Distill-Llama-8B,74.55711126327515,G9AT,7,-1
deepseek-ai/DeepSeek-R1-Distill-Llama-8B,36.17225074768066,DIJV,3,44
deepseek-ai/DeepSeek-R1-Distill-Llama-8B,74.66587162017822,LIWL,6,-1
deepseek-ai/DeepSeek-R1-Distill-Llama-8B,74.30725383758545,57JK,7,-1
deepseek-ai/DeepSeek-R1-Distill-Llama-8B,38.15433430671692,DXA6,1,33
deepseek-ai/DeepSeek-R1-Distill-Llama-8B,29.678571462631226,ER88,14,17
deepseek-ai/DeepSeek-R1-Distill-Llama-8B,74.33000349998474,3KN3,4,-1
deepseek-ai/DeepSeek-R1-Distill-Llama-8B,16.496874809265137,WW92,3,38
deepseek-ai/DeepSeek-R1-Distill-Llama-8B,74.78685712814331,UYMX,12,-1
deepseek-ai/DeepSeek-R1-Distill-Llama-8B,74.6763505935669,Z5SK,6,-1
deepseek-ai/DeepSeek-R1-Distill-Llama-8B,60.08025431632996,NTOW,11,49
deepseek-ai/DeepSeek-R1-Distill-Llama-8B,25.727488040924072,3JT1,6,56
deepseek-ai/DeepSeek-R1-Distill-Llama-8B,47.69067144393921,CYAC,6,36
deepseek-ai/DeepSeek-R1-Distill-Llama-8B,74.27322959899902,ZXGN,8,-1
deepseek-ai/DeepSeek-R1-Distill-Llama-8B,74.31003069877625,IG27,8,-1
deepseek-ai/DeepSeek-R1-Distill-Llama-8B,30.89635801315308,DTXY,4,55
deepseek-ai/DeepSeek-R1-Distill-Llama-8B,50.56096577644348,G4R0,13,52
deepseek-ai/DeepSeek-R1-Distill-Llama-8B,60.75761675834656,ZBHP,11,-1
deepseek-ai/DeepSeek-R1-Distill-Llama-8B,28.12669825553894,IE3E,8,58
deepseek-ai/DeepSeek-R1-Distill-Llama-8B,30.98541808128357,AAUC,10,9
deepseek-ai/DeepSeek-R1-Distill-Llama-8B,18.29270625114441,JLJK,4,27
deepseek-ai/DeepSeek-R1-Distill-Llama-8B,19.0278263092041,XPFE,3,37
deepseek-ai/DeepSeek-R1-Distill-Llama-8B,83.29069375991821,RHUQ,5,53
deepseek-ai/DeepSeek-R1-Distill-Llama-8B,11.070900201797484,LJ41,12,-1
deepseek-ai/DeepSeek-R1-Distill-Llama-8B,65.34064984321594,CU19,5,39
deepseek-ai/DeepSeek-R1-Distill-Llama-8B,85.30309677124023,757V,10,45
deepseek-ai/DeepSeek-R1-Distill-Llama-8B,73.65784859657288,2NWV,5,47
deepseek-ai/DeepSeek-R1-Distill-Llama-8B,82.07613134384155,QUAS,7,67
deepseek-ai/DeepSeek-R1-Distill-Llama-8B,80.09624457359314,NIQR,13,41
