model_name,seconds,code_name,caracteristcs,length,previous_code,folder_id
deepseek-ai/deepseek-coder-7b-instruct-v1.5,29.65644669532776,HKSG1,13,39,,HKSG
deepseek-ai/deepseek-coder-7b-instruct-v1.5,7.6564130783081055,HKSG2,3,4,HKSG1,HKSG
deepseek-ai/deepseek-coder-7b-instruct-v1.5,30.260669708251957,HKSG3,11,3,HKSG2,HKSG
deepseek-ai/deepseek-coder-7b-instruct-v1.5,29.02938151359558,PKWL1,1,45,,PKWL
deepseek-ai/deepseek-coder-7b-instruct-v1.5,5.000277280807495,PKWL2,1,49,PKWL1,PKWL
deepseek-ai/deepseek-coder-7b-instruct-v1.5,29.30134415626526,RXIX1,10,39,,RXIX
deepseek-ai/deepseek-coder-7b-instruct-v1.5,8.821148872375488,RXIX2,10,4,RXIX1,RXIX
deepseek-ai/deepseek-coder-7b-instruct-v1.5,30.147235870361328,RXIX3,11,3,RXIX2,RXIX
deepseek-ai/deepseek-coder-7b-instruct-v1.5,13.955588817596436,HTTP1,7,132,,HTTP
deepseek-ai/deepseek-coder-7b-instruct-v1.5,17.23324465751648,HTTP2,3,165,HTTP1,HTTP
deepseek-ai/deepseek-coder-7b-instruct-v1.5,19.803183794021606,HTTP3,12,79,HTTP2,HTTP
deepseek-ai/deepseek-coder-7b-instruct-v1.5,29.128328800201416,FZSI1,2,45,,FZSI
deepseek-ai/deepseek-coder-7b-instruct-v1.5,4.875125169754028,FZSI2,1,49,FZSI1,FZSI
deepseek-ai/deepseek-coder-7b-instruct-v1.5,29.234084367752075,BFWI1,6,223,,BFWI
deepseek-ai/deepseek-coder-7b-instruct-v1.5,16.176026344299316,BFWI2,9,139,BFWI1,BFWI
deepseek-ai/deepseek-coder-7b-instruct-v1.5,28.79554271697998,GPCR1,2,45,,GPCR
deepseek-ai/deepseek-coder-7b-instruct-v1.5,4.880895137786865,GPCR2,1,49,GPCR1,GPCR
deepseek-ai/deepseek-coder-7b-instruct-v1.5,16.008079767227173,MNWE1,12,44,,MNWE
deepseek-ai/deepseek-coder-7b-instruct-v1.5,6.561328411102295,MNWE2,14,45,MNWE1,MNWE
deepseek-ai/deepseek-coder-7b-instruct-v1.5,27.58629035949707,MNWE3,9,40,MNWE2,MNWE
deepseek-ai/deepseek-coder-7b-instruct-v1.5,27.80847978591919,MNWE4,7,44,MNWE3,MNWE
deepseek-ai/deepseek-coder-7b-instruct-v1.5,27.45607972145081,MNWE5,2,3,MNWE4,MNWE
deepseek-ai/deepseek-coder-7b-instruct-v1.5,30.033081531524655,MNWE6,13,3,MNWE5,MNWE
deepseek-ai/deepseek-coder-7b-instruct-v1.5,13.905670404434204,YIFL1,7,132,,YIFL
deepseek-ai/deepseek-coder-7b-instruct-v1.5,17.192206382751465,YIFL2,3,165,YIFL1,YIFL
deepseek-ai/deepseek-coder-7b-instruct-v1.5,19.724364280700684,YIFL3,1,79,YIFL2,YIFL
deepseek-ai/deepseek-coder-7b-instruct-v1.5,12.150455951690674,JWVD1,5,107,,JWVD
deepseek-ai/deepseek-coder-7b-instruct-v1.5,12.035736799240112,JWVD2,14,60,JWVD1,JWVD
deepseek-ai/deepseek-coder-7b-instruct-v1.5,26.458585500717163,JWVD3,9,46,JWVD2,JWVD
deepseek-ai/deepseek-coder-7b-instruct-v1.5,11.882055044174194,JWVD4,1,46,JWVD3,JWVD
deepseek-ai/deepseek-coder-7b-instruct-v1.5,27.104576587677,JWVD5,4,77,JWVD4,JWVD
deepseek-ai/deepseek-coder-7b-instruct-v1.5,19.276302337646484,JWVD6,14,74,JWVD5,JWVD
deepseek-ai/deepseek-coder-7b-instruct-v1.5,29.27080655097961,EPFY1,11,39,,EPFY
deepseek-ai/deepseek-coder-7b-instruct-v1.5,8.558034420013428,EPFY2,4,74,EPFY1,EPFY
deepseek-ai/deepseek-coder-7b-instruct-v1.5,25.59245800971985,EPFY3,13,41,EPFY2,EPFY
deepseek-ai/deepseek-coder-7b-instruct-v1.5,27.32369899749756,EPFY4,4,67,EPFY3,EPFY
deepseek-ai/deepseek-coder-7b-instruct-v1.5,13.578688144683838,EPFY5,14,65,EPFY4,EPFY
deepseek-ai/deepseek-coder-7b-instruct-v1.5,29.349504470825195,TBDX1,11,39,,TBDX
deepseek-ai/deepseek-coder-7b-instruct-v1.5,14.420093059539797,TBDX2,6,67,TBDX1,TBDX
deepseek-ai/deepseek-coder-7b-instruct-v1.5,26.095099925994877,TBDX3,11,3,TBDX2,TBDX
deepseek-ai/deepseek-coder-7b-instruct-v1.5,29.861873865127563,TBDX4,14,3,TBDX3,TBDX
deepseek-ai/deepseek-coder-7b-instruct-v1.5,28.99469232559204,GRIT1,10,39,,GRIT
deepseek-ai/deepseek-coder-7b-instruct-v1.5,7.657040596008301,GRIT2,2,71,GRIT1,GRIT
deepseek-ai/deepseek-coder-7b-instruct-v1.5,9.17944359779358,GRIT3,13,129,GRIT2,GRIT
deepseek-ai/deepseek-coder-7b-instruct-v1.5,13.65993332862854,GRIT4,5,165,GRIT3,GRIT
deepseek-ai/deepseek-coder-7b-instruct-v1.5,19.52520155906677,GRIT5,6,81,GRIT4,GRIT
meta-llama/CodeLlama-7b-hf,29.844029426574707,UWZA1,1,46,None,UWZA
