model_name,seconds,code_name,caracteristcs,length
deepseek-ai/deepseek-coder-7b-instruct-v1.5,29.21252918243408,YGIA,13,-1
deepseek-ai/deepseek-coder-7b-instruct-v1.5,28.9624936580658,66KQ,6,67
deepseek-ai/deepseek-coder-7b-instruct-v1.5,29.041991233825684,ME99,1,40
deepseek-ai/deepseek-coder-7b-instruct-v1.5,28.62217712402344,TGXC,2,45
deepseek-ai/deepseek-coder-7b-instruct-v1.5,28.73961281776428,F8TP,4,45
deepseek-ai/deepseek-coder-7b-instruct-v1.5,29.072073459625244,HHU5,6,67
deepseek-ai/deepseek-coder-7b-instruct-v1.5,15.8846116065979,Z0YT,14,39
deepseek-ai/deepseek-coder-7b-instruct-v1.5,29.17824673652649,NAWC,13,-1
deepseek-ai/deepseek-coder-7b-instruct-v1.5,29.13556241989136,8BHW,11,39
deepseek-ai/deepseek-coder-7b-instruct-v1.5,29.182592153549194,1RV1,13,-1
deepseek-ai/deepseek-coder-7b-instruct-v1.5,29.173545598983765,B2N9,4,45
deepseek-ai/deepseek-coder-7b-instruct-v1.5,15.818081855773926,R4LR,14,39
deepseek-ai/deepseek-coder-7b-instruct-v1.5,29.218777894973755,1Q9T,9,111
deepseek-ai/deepseek-coder-7b-instruct-v1.5,29.06883406639099,GHMD,5,67
deepseek-ai/deepseek-coder-7b-instruct-v1.5,28.951202869415283,M1P6,9,111
deepseek-ai/deepseek-coder-7b-instruct-v1.5,15.657146453857422,2N48,14,39
deepseek-ai/deepseek-coder-7b-instruct-v1.5,29.04032850265503,5SQZ,9,111
deepseek-ai/deepseek-coder-7b-instruct-v1.5,28.722968339920044,2PVT,8,92
deepseek-ai/deepseek-coder-7b-instruct-v1.5,28.930586099624637,6SWJ,13,-1
deepseek-ai/deepseek-coder-7b-instruct-v1.5,15.619218587875366,Q58F,14,39
deepseek-ai/deepseek-coder-7b-instruct-v1.5,61.582576513290405,6P8U,2,45
deepseek-ai/deepseek-coder-7b-instruct-v1.5,61.64541816711426,O2EE,12,39
deepseek-ai/deepseek-coder-7b-instruct-v1.5,61.313655376434326,WOZF,1,40
deepseek-ai/deepseek-coder-7b-instruct-v1.5,61.45469617843628,DOW6,3,40
deepseek-ai/deepseek-coder-7b-instruct-v1.5,61.77390813827515,22NQ,4,117
deepseek-ai/deepseek-coder-7b-instruct-v1.5,62.14616513252258,VT8K,1,40
deepseek-ai/deepseek-coder-7b-instruct-v1.5,62.013601303100586,P1LX,3,40
deepseek-ai/deepseek-coder-7b-instruct-v1.5,61.84843730926514,JJUY,3,40
deepseek-ai/deepseek-coder-7b-instruct-v1.5,61.80612301826477,HF9I,5,67
deepseek-ai/deepseek-coder-7b-instruct-v1.5,61.71353769302368,1UMC,5,67
deepseek-ai/deepseek-coder-7b-instruct-v1.5,61.54365086555481,VHTR,2,45
deepseek-ai/deepseek-coder-7b-instruct-v1.5,61.98282551765442,QZH2,1,40
deepseek-ai/deepseek-coder-7b-instruct-v1.5,61.54433560371399,OXZL,8,92
deepseek-ai/deepseek-coder-7b-instruct-v1.5,62.20034432411194,B6OE,7,96
deepseek-ai/deepseek-coder-7b-instruct-v1.5,62.56003975868225,2ZJO,5,67
deepseek-ai/deepseek-coder-7b-instruct-v1.5,62.63661432266235,7P2Y,10,39
deepseek-ai/deepseek-coder-7b-instruct-v1.5,61.94408130645752,3OTX,6,67
deepseek-ai/deepseek-coder-7b-instruct-v1.5,61.98875832557678,MED3,10,39
deepseek-ai/deepseek-coder-7b-instruct-v1.5,61.7028238773346,6YK7,5,67
deepseek-ai/deepseek-coder-7b-instruct-v1.5,62.36449217796326,8R3K,6,67
deepseek-ai/deepseek-coder-7b-instruct-v1.5,128.3239049911499,DLBY,3,40
deepseek-ai/deepseek-coder-7b-instruct-v1.5,128.0799641609192,CE37,13,-1
deepseek-ai/deepseek-coder-7b-instruct-v1.5,126.47308397293092,2XAB,5,-1
deepseek-ai/deepseek-coder-7b-instruct-v1.5,126.22186970710754,B6VN,4,-1
deepseek-ai/deepseek-coder-7b-instruct-v1.5,127.64180326461792,XOCX,11,39
deepseek-ai/deepseek-coder-7b-instruct-v1.5,127.35160207748412,0UJQ,1,40
deepseek-ai/deepseek-coder-7b-instruct-v1.5,128.13528656959534,AT3I,8,92
deepseek-ai/deepseek-coder-7b-instruct-v1.5,127.84264016151428,DWIL,13,-1
deepseek-ai/deepseek-coder-7b-instruct-v1.5,128.50297451019287,CK0T,12,39
deepseek-ai/deepseek-coder-7b-instruct-v1.5,127.31425857543944,95IU,5,-1
deepseek-ai/deepseek-coder-7b-instruct-v1.5,126.69289302825928,GUIK,6,120
deepseek-ai/deepseek-coder-7b-instruct-v1.5,126.880690574646,V1L3,5,-1
deepseek-ai/deepseek-coder-7b-instruct-v1.5,127.19986629486084,OVJA,11,39
deepseek-ai/deepseek-coder-7b-instruct-v1.5,127.50578236579896,ZMJ9,5,-1
deepseek-ai/deepseek-coder-7b-instruct-v1.5,127.5006194114685,EKNR,12,39
deepseek-ai/deepseek-coder-7b-instruct-v1.5,128.24427843093872,288B,13,-1
deepseek-ai/deepseek-coder-7b-instruct-v1.5,127.87822580337524,AA7R,8,92
deepseek-ai/deepseek-coder-7b-instruct-v1.5,129.423100233078,0A05,11,39
deepseek-ai/deepseek-coder-7b-instruct-v1.5,126.90612173080444,QJFB,5,-1
deepseek-ai/deepseek-coder-7b-instruct-v1.5,126.710547208786,4WZI,5,-1
deepseek-ai/deepseek-coder-7b-instruct-v1.5,257.1898682117462,QHZI,1,40
deepseek-ai/deepseek-coder-7b-instruct-v1.5,256.3635895252228,DJ2Z,10,-1
deepseek-ai/deepseek-coder-7b-instruct-v1.5,257.7261018753052,P4B0,4,63
deepseek-ai/deepseek-coder-7b-instruct-v1.5,257.7449836730957,JCO6,13,37
deepseek-ai/deepseek-coder-7b-instruct-v1.5,256.735636472702,H8DT,6,120
deepseek-ai/deepseek-coder-7b-instruct-v1.5,257.6867506504059,08OH,2,45
deepseek-ai/deepseek-coder-7b-instruct-v1.5,258.69716715812683,Y1XO,12,79
deepseek-ai/deepseek-coder-7b-instruct-v1.5,258.7690124511719,WL09,9,111
deepseek-ai/deepseek-coder-7b-instruct-v1.5,259.48447370529175,L7F4,12,79
deepseek-ai/deepseek-coder-7b-instruct-v1.5,258.0715079307556,DAR1,6,120
deepseek-ai/deepseek-coder-7b-instruct-v1.5,257.6989121437073,J0ZD,10,-1
deepseek-ai/deepseek-coder-7b-instruct-v1.5,257.4480240345001,CB5S,7,46
deepseek-ai/deepseek-coder-7b-instruct-v1.5,259.1983156204224,8GMC,12,79
deepseek-ai/deepseek-coder-7b-instruct-v1.5,257.7284924983978,79KU,10,-1
deepseek-ai/deepseek-coder-7b-instruct-v1.5,257.713041305542,ALI3,1,40
deepseek-ai/deepseek-coder-7b-instruct-v1.5,259.5234091281891,XRJU,9,111
deepseek-ai/deepseek-coder-7b-instruct-v1.5,15.638842582702637,BS7H,14,39
deepseek-ai/deepseek-coder-7b-instruct-v1.5,258.59412026405334,RW6Y,7,46
deepseek-ai/deepseek-coder-7b-instruct-v1.5,258.8359375,TX28,1,40
deepseek-ai/deepseek-coder-7b-instruct-v1.5,258.6807506084442,1F76,2,45
deepseek-ai/deepseek-coder-7b-instruct-v1.5,584.0505867004395,LJKZ,8,92
deepseek-ai/deepseek-coder-7b-instruct-v1.5,580.0916433334351,EZE7,3,40
