folder_id,file,compiler,version,optimization,bin_min_size,bin_max_size,bin_mean_size,time
ALAA,ALAA1.c,gcc,9,-O0,1436,1436,1436.0,3.897573709487915
ALAA,ALAA1.c,gcc,9,-O1,1439,1439,1439.0,1.998301982879639
ALAA,ALAA1.c,gcc,9,-O2,1434,1434,1434.0,2.1751909255981445
ALAA,ALAA1.c,gcc,9,-O3,1434,1434,1434.0,2.105841636657715
ALAA,ALAA1.c,gcc,9,-Os,1427,1427,1427.0,1.95530104637146
ALAA,ALAA1.c,gcc,9,-Ofast,1518,1518,1518.0,2.0227818489074707
ALAA,ALAA1.c,gcc,10,-O0,1436,1436,1436.0,2.921725988388061
ALAA,ALAA1.c,gcc,10,-O1,1439,1439,1439.0,1.90423846244812
ALAA,ALAA1.c,gcc,10,-O2,1434,1434,1434.0,1.914520263671875
ALAA,ALAA1.c,gcc,10,-O3,1434,1434,1434.0,2.074970245361328
ALAA,ALAA1.c,gcc,10,-Os,1427,1427,1427.0,2.137023448944092
ALAA,ALAA1.c,gcc,10,-Ofast,1518,1518,1518.0,2.0086865425109863
ALAA,ALAA1.c,gcc,11,-O0,1439,1439,1439.0,2.3587231636047363
ALAA,ALAA1.c,gcc,11,-O1,1439,1439,1439.0,2.382629871368408
ALAA,ALAA1.c,gcc,11,-O2,1434,1434,1434.0,2.197215795516968
ALAA,ALAA1.c,gcc,11,-O3,1434,1434,1434.0,2.0947065353393555
ALAA,ALAA1.c,gcc,11,-Os,1427,1427,1427.0,1.9702715873718264
ALAA,ALAA1.c,gcc,11,-Ofast,1518,1518,1518.0,2.027865171432495
ALAA,ALAA1.c,gcc,12,-O0,1439,1439,1439.0,3.708919048309326
ALAA,ALAA1.c,gcc,12,-O1,1439,1439,1439.0,2.0991642475128174
ALAA,ALAA1.c,gcc,12,-O2,1434,1434,1434.0,2.327192068099976
ALAA,ALAA1.c,gcc,12,-O3,1434,1434,1434.0,2.168370485305786
ALAA,ALAA1.c,gcc,12,-Os,1427,1427,1427.0,2.187413692474365
ALAA,ALAA1.c,gcc,12,-Ofast,1518,1518,1518.0,2.356539011001587
ALAA,ALAA2.c,gcc,9,-O0,1536,1536,1536.0,1.8112211227416992
ALAA,ALAA2.c,gcc,9,-O1,1472,1472,1472.0,1.975712537765503
ALAA,ALAA2.c,gcc,9,-O2,1434,1434,1434.0,1.817153692245484
ALAA,ALAA2.c,gcc,9,-O3,1434,1434,1434.0,1.994826316833496
ALAA,ALAA2.c,gcc,9,-Os,1427,1427,1427.0,1.716746807098389
ALAA,ALAA2.c,gcc,9,-Ofast,1518,1518,1518.0,1.9089977741241453
ALAA,ALAA2.c,gcc,10,-O0,1533,1533,1533.0,1.8413302898406985
ALAA,ALAA2.c,gcc,10,-O1,1468,1468,1468.0,2.1098225116729736
ALAA,ALAA2.c,gcc,10,-O2,1434,1434,1434.0,2.001278877258301
ALAA,ALAA2.c,gcc,10,-O3,1434,1434,1434.0,1.9947841167449951
ALAA,ALAA2.c,gcc,10,-Os,1427,1427,1427.0,1.954587459564209
ALAA,ALAA2.c,gcc,10,-Ofast,1518,1518,1518.0,2.0011792182922363
ALAA,ALAA2.c,gcc,11,-O0,1483,1483,1483.0,1.880805492401123
ALAA,ALAA2.c,gcc,11,-O1,1468,1468,1468.0,2.146533727645874
ALAA,ALAA2.c,gcc,11,-O2,1434,1434,1434.0,1.9762296676635744
ALAA,ALAA2.c,gcc,11,-O3,1434,1434,1434.0,2.017681360244751
ALAA,ALAA2.c,gcc,11,-Os,1427,1427,1427.0,2.036120891571045
ALAA,ALAA2.c,gcc,11,-Ofast,1518,1518,1518.0,2.004180908203125
ALAA,ALAA2.c,gcc,12,-O0,1483,1483,1483.0,2.027186155319214
ALAA,ALAA2.c,gcc,12,-O1,1468,1468,1468.0,2.285107374191284
ALAA,ALAA2.c,gcc,12,-O2,1434,1434,1434.0,2.255821466445923
ALAA,ALAA2.c,gcc,12,-O3,1434,1434,1434.0,2.16374945640564
ALAA,ALAA2.c,gcc,12,-Os,1427,1427,1427.0,2.1444480419158936
ALAA,ALAA2.c,gcc,12,-Ofast,1518,1518,1518.0,2.2334768772125244
ALAA,ALAA3.c,gcc,9,-O0,1553,1553,1553.0,1.8204169273376465
ALAA,ALAA3.c,gcc,9,-O1,1472,1472,1472.0,2.0106630325317383
ALAA,ALAA3.c,gcc,9,-O2,1434,1434,1434.0,1.9596824645996087
ALAA,ALAA3.c,gcc,9,-O3,1434,1434,1434.0,1.984388828277588
ALAA,ALAA3.c,gcc,9,-Os,1427,1427,1427.0,1.930190086364746
ALAA,ALAA3.c,gcc,9,-Ofast,1518,1518,1518.0,2.004427433013916
ALAA,ALAA3.c,gcc,10,-O0,1546,1546,1546.0,1.825055360794068
ALAA,ALAA3.c,gcc,10,-O1,1468,1468,1468.0,1.988953113555908
ALAA,ALAA3.c,gcc,10,-O2,1434,1434,1434.0,1.9464406967163088
ALAA,ALAA3.c,gcc,10,-O3,1434,1434,1434.0,1.7236685752868652
ALAA,ALAA3.c,gcc,10,-Os,1427,1427,1427.0,1.9576892852783203
ALAA,ALAA3.c,gcc,10,-Ofast,1518,1518,1518.0,2.182705402374268
ALAA,ALAA3.c,gcc,11,-O0,1549,1549,1549.0,1.844919919967652
ALAA,ALAA3.c,gcc,11,-O1,1468,1468,1468.0,2.040667533874512
ALAA,ALAA3.c,gcc,11,-O2,1434,1434,1434.0,1.9946763515472408
ALAA,ALAA3.c,gcc,11,-O3,1434,1434,1434.0,2.0201189517974854
ALAA,ALAA3.c,gcc,11,-Os,1427,1427,1427.0,2.102247953414917
ALAA,ALAA3.c,gcc,11,-Ofast,1518,1518,1518.0,2.051333427429199
ALAA,ALAA3.c,gcc,12,-O0,1552,1552,1552.0,2.0268375873565674
ALAA,ALAA3.c,gcc,12,-O1,1468,1468,1468.0,2.202209234237671
ALAA,ALAA3.c,gcc,12,-O2,1434,1434,1434.0,2.2390174865722656
ALAA,ALAA3.c,gcc,12,-O3,1434,1434,1434.0,2.1784827709198
ALAA,ALAA3.c,gcc,12,-Os,1427,1427,1427.0,2.186816930770874
ALAA,ALAA3.c,gcc,12,-Ofast,1518,1518,1518.0,2.255530595779419
HFHW,HFHW1.c,gcc,9,-O0,1465,1465,1465.0,1.8833820819854736
HFHW,HFHW1.c,gcc,9,-O1,1477,1477,1477.0,2.011605262756348
HFHW,HFHW1.c,gcc,9,-O2,1466,1466,1466.0,2.057735204696656
HFHW,HFHW1.c,gcc,9,-O3,1466,1466,1466.0,2.0655105113983154
HFHW,HFHW1.c,gcc,9,-Os,1468,1468,1468.0,1.968562126159668
HFHW,HFHW1.c,gcc,9,-Ofast,1550,1550,1550.0,2.0902774333953857
HFHW,HFHW1.c,gcc,10,-O0,1465,1465,1465.0,1.808166980743408
HFHW,HFHW1.c,gcc,10,-O1,1477,1477,1477.0,1.9796743392944336
HFHW,HFHW1.c,gcc,10,-O2,1466,1466,1466.0,2.0467960834503174
HFHW,HFHW1.c,gcc,10,-O3,1466,1466,1466.0,2.294400453567505
HFHW,HFHW1.c,gcc,10,-Os,1468,1468,1468.0,2.0229954719543457
HFHW,HFHW1.c,gcc,10,-Ofast,1550,1550,1550.0,2.1246654987335205
HFHW,HFHW1.c,gcc,11,-O0,1468,1468,1468.0,1.8785500526428225
HFHW,HFHW1.c,gcc,11,-O1,1477,1477,1477.0,2.048286437988281
HFHW,HFHW1.c,gcc,11,-O2,1466,1466,1466.0,2.11759877204895
HFHW,HFHW1.c,gcc,11,-O3,1466,1466,1466.0,2.146613836288452
HFHW,HFHW1.c,gcc,11,-Os,1468,1468,1468.0,2.0980160236358643
HFHW,HFHW1.c,gcc,11,-Ofast,1550,1550,1550.0,2.1018295288085938
HFHW,HFHW1.c,gcc,12,-O0,1468,1468,1468.0,2.03468656539917
HFHW,HFHW1.c,gcc,12,-O1,1477,1477,1477.0,2.197352647781372
HFHW,HFHW1.c,gcc,12,-O2,1466,1466,1466.0,2.258782863616944
HFHW,HFHW1.c,gcc,12,-O3,1466,1466,1466.0,2.3016886711120605
HFHW,HFHW1.c,gcc,12,-Os,1468,1468,1468.0,2.3674299716949463
HFHW,HFHW1.c,gcc,12,-Ofast,1550,1550,1550.0,2.392343282699585
HFHW,HFHW2.c,gcc,9,-O0,1515,1515,1515.0,1.7937963008880615
HFHW,HFHW2.c,gcc,9,-O1,1503,1503,1503.0,2.044363021850586
HFHW,HFHW2.c,gcc,9,-O2,1466,1466,1466.0,2.056681156158448
HFHW,HFHW2.c,gcc,9,-O3,1466,1466,1466.0,1.992321252822876
HFHW,HFHW2.c,gcc,9,-Os,1468,1468,1468.0,2.024813175201416
HFHW,HFHW2.c,gcc,9,-Ofast,1550,1550,1550.0,2.099841594696045
HFHW,HFHW2.c,gcc,10,-O0,1515,1515,1515.0,2.007653951644897
HFHW,HFHW2.c,gcc,10,-O1,1499,1499,1499.0,1.899949312210083
HFHW,HFHW2.c,gcc,10,-O2,1466,1466,1466.0,2.32886004447937
HFHW,HFHW2.c,gcc,10,-O3,1466,1466,1466.0,1.918891668319702
HFHW,HFHW2.c,gcc,10,-Os,1468,1468,1468.0,1.7961530685424805
HFHW,HFHW2.c,gcc,10,-Ofast,1550,1550,1550.0,2.0924105644226074
HFHW,HFHW2.c,gcc,11,-O0,1518,1518,1518.0,1.4719915390014648
HFHW,HFHW2.c,gcc,11,-O1,1499,1499,1499.0,1.511317491531372
HFHW,HFHW2.c,gcc,11,-O2,1466,1466,1466.0,1.9606239795684808
HFHW,HFHW2.c,gcc,11,-O3,1466,1466,1466.0,1.9708290100097656
HFHW,HFHW2.c,gcc,11,-Os,1468,1468,1468.0,1.774064302444458
HFHW,HFHW2.c,gcc,11,-Ofast,1550,1550,1550.0,2.0199499130249023
HFHW,HFHW2.c,gcc,12,-O0,1518,1518,1518.0,1.3755781650543213
HFHW,HFHW2.c,gcc,12,-O1,1499,1499,1499.0,1.5850787162780762
HFHW,HFHW2.c,gcc,12,-O2,1466,1466,1466.0,1.6680676937103271
HFHW,HFHW2.c,gcc,12,-O3,1466,1466,1466.0,1.7135229110717771
HFHW,HFHW2.c,gcc,12,-Os,1468,1468,1468.0,1.7060394287109375
HFHW,HFHW2.c,gcc,12,-Ofast,1550,1550,1550.0,1.6927249431610107
HFHW,HFHW3.c,gcc,9,-O0,1658,1658,1658.0,1.4504318237304688
HFHW,HFHW3.c,gcc,9,-O1,1588,1588,1588.0,1.8274271488189693
HFHW,HFHW3.c,gcc,9,-O2,1570,1570,1570.0,2.246887683868408
HFHW,HFHW3.c,gcc,9,-O3,1570,1570,1570.0,2.302368402481079
HFHW,HFHW3.c,gcc,9,-Os,1543,1543,1543.0,2.422722816467285
HFHW,HFHW3.c,gcc,9,-Ofast,1658,1658,1658.0,2.6941685676574707
HFHW,HFHW3.c,gcc,10,-O0,1658,1658,1658.0,1.8885164260864256
HFHW,HFHW3.c,gcc,10,-O1,1584,1584,1584.0,1.598668336868286
HFHW,HFHW3.c,gcc,10,-O2,1570,1570,1570.0,1.5950334072113037
HFHW,HFHW3.c,gcc,10,-O3,1570,1570,1570.0,1.6440279483795166
HFHW,HFHW3.c,gcc,10,-Os,1543,1543,1543.0,1.67293381690979
HFHW,HFHW3.c,gcc,10,-Ofast,1658,1658,1658.0,2.0095019340515137
HFHW,HFHW3.c,gcc,11,-O0,1661,1661,1661.0,1.5264370441436768
HFHW,HFHW3.c,gcc,11,-O1,1584,1584,1584.0,1.6538519859313965
HFHW,HFHW3.c,gcc,11,-O2,1570,1570,1570.0,1.6928632259368896
HFHW,HFHW3.c,gcc,11,-O3,1570,1570,1570.0,1.811747550964356
HFHW,HFHW3.c,gcc,11,-Os,1543,1543,1543.0,2.178217887878418
HFHW,HFHW3.c,gcc,11,-Ofast,1658,1658,1658.0,2.5726468563079834
HFHW,HFHW3.c,gcc,12,-O0,1661,1661,1661.0,2.2781052589416504
HFHW,HFHW3.c,gcc,12,-O1,1584,1584,1584.0,2.526500940322876
HFHW,HFHW3.c,gcc,12,-O2,1570,1570,1570.0,3.3315796852111816
HFHW,HFHW3.c,gcc,12,-O3,1570,1570,1570.0,3.295398473739624
HFHW,HFHW3.c,gcc,12,-Os,1543,1543,1543.0,3.1145012378692627
HFHW,HFHW3.c,gcc,12,-Ofast,1658,1658,1658.0,3.0019328594207764
OEYU,OEYU1.c,gcc,9,-O0,1454,1454,1454.0,2.017606973648072
OEYU,OEYU1.c,gcc,9,-O1,1452,1452,1452.0,2.0527091026306152
OEYU,OEYU1.c,gcc,9,-O2,1447,1447,1447.0,2.119410514831543
OEYU,OEYU1.c,gcc,9,-O3,1447,1447,1447.0,2.366383552551269
OEYU,OEYU1.c,gcc,9,-Os,1437,1437,1437.0,2.251234531402588
OEYU,OEYU1.c,gcc,9,-Ofast,1531,1531,1531.0,2.196261167526245
OEYU,OEYU1.c,gcc,10,-O0,1454,1454,1454.0,1.7431800365447998
OEYU,OEYU1.c,gcc,10,-O1,1452,1452,1452.0,2.3318777084350586
OEYU,OEYU1.c,gcc,10,-O2,1447,1447,1447.0,2.3403244018554688
OEYU,OEYU1.c,gcc,10,-O3,1447,1447,1447.0,2.1782262325286865
OEYU,OEYU1.c,gcc,10,-Os,1437,1437,1437.0,2.3426523208618164
OEYU,OEYU1.c,gcc,10,-Ofast,1531,1531,1531.0,1.858466386795044
OEYU,OEYU1.c,gcc,11,-O0,1457,1457,1457.0,1.6176156997680664
OEYU,OEYU1.c,gcc,11,-O1,1452,1452,1452.0,1.8159146308898928
OEYU,OEYU1.c,gcc,11,-O2,1447,1447,1447.0,2.0279858112335205
OEYU,OEYU1.c,gcc,11,-O3,1447,1447,1447.0,2.137481927871704
OEYU,OEYU1.c,gcc,11,-Os,1437,1437,1437.0,2.060513019561768
OEYU,OEYU1.c,gcc,11,-Ofast,1531,1531,1531.0,2.3573532104492188
OEYU,OEYU1.c,gcc,12,-O0,1457,1457,1457.0,3.007526397705078
OEYU,OEYU1.c,gcc,12,-O1,1452,1452,1452.0,1.7266368865966797
OEYU,OEYU1.c,gcc,12,-O2,1447,1447,1447.0,2.06369423866272
OEYU,OEYU1.c,gcc,12,-O3,1447,1447,1447.0,2.2985498905181885
OEYU,OEYU1.c,gcc,12,-Os,1437,1437,1437.0,2.806250095367432
OEYU,OEYU1.c,gcc,12,-Ofast,1531,1531,1531.0,2.6468751430511475
OEYU,OEYU2.c,gcc,9,-O0,1524,1524,1524.0,1.6925737857818604
OEYU,OEYU2.c,gcc,9,-O1,1519,1519,1519.0,1.9918060302734373
OEYU,OEYU2.c,gcc,9,-O2,1501,1501,1501.0,1.9969642162323
OEYU,OEYU2.c,gcc,9,-O3,1767,1767,1767.0,4.019060134887695
OEYU,OEYU2.c,gcc,9,-Os,1474,1474,1474.0,2.2736597061157227
OEYU,OEYU2.c,gcc,9,-Ofast,1851,1851,1851.0,2.3018648624420166
OEYU,OEYU2.c,gcc,10,-O0,1524,1524,1524.0,2.101250410079956
OEYU,OEYU2.c,gcc,10,-O1,1510,1510,1510.0,2.274749279022217
OEYU,OEYU2.c,gcc,10,-O2,1501,1501,1501.0,2.119906187057495
OEYU,OEYU2.c,gcc,10,-O3,2040,2040,2040.0,3.361730098724365
OEYU,OEYU2.c,gcc,10,-Os,1474,1474,1474.0,2.158057451248169
OEYU,OEYU2.c,gcc,10,-Ofast,2128,2128,2128.0,2.622220516204834
OEYU,OEYU2.c,gcc,11,-O0,1527,1527,1527.0,1.9922783374786377
OEYU,OEYU2.c,gcc,11,-O1,1510,1510,1510.0,2.202328681945801
OEYU,OEYU2.c,gcc,11,-O2,1501,1501,1501.0,2.29658842086792
OEYU,OEYU2.c,gcc,11,-O3,1766,1766,1766.0,2.820189476013184
OEYU,OEYU2.c,gcc,11,-Os,1474,1474,1474.0,2.090295553207397
OEYU,OEYU2.c,gcc,11,-Ofast,1850,1850,1850.0,2.212252616882324
OEYU,OEYU2.c,gcc,12,-O0,1527,1527,1527.0,1.8055171966552728
OEYU,OEYU2.c,gcc,12,-O1,1510,1510,1510.0,2.4621012210845947
OEYU,OEYU2.c,gcc,12,-O2,1501,1501,1501.0,1.9623520374298096
OEYU,OEYU2.c,gcc,12,-O3,1774,1774,1774.0,2.899759531021118
OEYU,OEYU2.c,gcc,12,-Os,1472,1472,1472.0,2.3402066230773926
OEYU,OEYU2.c,gcc,12,-Ofast,1858,1858,1858.0,2.561163902282715
OEYU,OEYU3.c,gcc,9,-O0,1565,1565,1565.0,1.6481819152832031
OEYU,OEYU3.c,gcc,9,-O1,1545,1545,1545.0,1.7310731410980225
OEYU,OEYU3.c,gcc,9,-O2,1461,1461,1461.0,1.7905895709991455
OEYU,OEYU3.c,gcc,9,-O3,1461,1461,1461.0,2.08614444732666
OEYU,OEYU3.c,gcc,9,-Os,1444,1444,1444.0,1.6810221672058103
OEYU,OEYU3.c,gcc,9,-Ofast,1545,1545,1545.0,1.7958409786224363
OEYU,OEYU3.c,gcc,10,-O0,1565,1565,1565.0,1.7115967273712158
OEYU,OEYU3.c,gcc,10,-O1,1538,1538,1538.0,1.9616281986236568
