file,compiler,version,optimization,bin_min_size,bin_max_size,bin_mean_size,time
04XV,gcc,14,-O0,1552,1552,1552.0,0.0460445880889892
04XV,gcc,14,-O1,1650,1650,1650.0,0.0530009269714355
04XV,gcc,14,-O2,1661,1661,1661.0,0.0541045665740966
04XV,gcc,14,-O3,1661,1661,1661.0,0.0557787418365478
04XV,gcc,14,-Os,1590,1590,1590.0,0.0520415306091308
04XV,gcc,14,-Ofast,1757,1757,1757.0,0.0527863502502441
07VN,gcc,14,-O0,1486,1486,1486.0,0.0444269180297851
07VN,gcc,14,-O1,1472,1472,1472.0,0.0481252670288085
07VN,gcc,14,-O2,1471,1471,1471.0,0.0521178245544433
07VN,gcc,14,-O3,1471,1471,1471.0,0.0501317977905273
07VN,gcc,14,-Os,1453,1453,1453.0,0.0494577884674072
07VN,gcc,14,-Ofast,1567,1567,1567.0,0.04948091506958
0AOM,gcc,14,-O0,1513,1513,1513.0,0.0450539588928222
0AOM,gcc,14,-O1,1568,1568,1568.0,0.049821138381958
0AOM,gcc,14,-O2,1551,1551,1551.0,0.0535299777984619
0AOM,gcc,14,-O3,1803,1803,1803.0,0.0650358200073242
0AOM,gcc,14,-Os,1485,1485,1485.0,0.0510528087615966
0AOM,gcc,14,-Ofast,1899,1899,1899.0,0.0600607395172119
0BYU,gcc,14,-O0,1451,1451,1451.0,0.0426859855651855
0BYU,gcc,14,-O1,1444,1444,1444.0,0.0467047691345214
0BYU,gcc,14,-O2,1438,1438,1438.0,0.0463647842407226
0BYU,gcc,14,-O3,1438,1438,1438.0,0.0478758811950683
0BYU,gcc,14,-Os,1431,1431,1431.0,0.0454494953155517
0BYU,gcc,14,-Ofast,1534,1534,1534.0,0.0516319274902343
0G9F,gcc,14,-O0,1457,1457,1457.0,0.0815629959106445
0G9F,gcc,14,-O1,1448,1448,1448.0,0.1035881042480468
0G9F,gcc,14,-O2,1442,1442,1442.0,0.1015081405639648
0G9F,gcc,14,-O3,1442,1442,1442.0,0.0913798809051513
0G9F,gcc,14,-Os,1434,1434,1434.0,0.0910196304321289
0G9F,gcc,14,-Ofast,1538,1538,1538.0,0.1038825511932373
0UKH,gcc,14,-O0,1470,1470,1470.0,0.0902938842773437
0UKH,gcc,14,-O1,1459,1459,1459.0,0.1004440784454345
0UKH,gcc,14,-O2,1450,1450,1450.0,0.0948808193206787
0UKH,gcc,14,-O3,1450,1450,1450.0,0.0949430465698242
0UKH,gcc,14,-Os,1445,1445,1445.0,0.1047127246856689
0UKH,gcc,14,-Ofast,1546,1546,1546.0,0.095388650894165
12OW,gcc,14,-O0,1467,1467,1467.0,0.0829780101776123
12OW,gcc,14,-O1,1456,1456,1456.0,0.0994403362274169
12OW,gcc,14,-O2,1451,1451,1451.0,0.0959539413452148
12OW,gcc,14,-O3,1451,1451,1451.0,0.0968842506408691
12OW,gcc,14,-Os,1443,1443,1443.0,0.0966770648956298
12OW,gcc,14,-Ofast,1547,1547,1547.0,0.0928397178649902
16MR,gcc,14,-O0,1513,1513,1513.0,0.0882833003997802
16MR,gcc,14,-O1,1568,1568,1568.0,0.1078991889953613
16MR,gcc,14,-O2,1551,1551,1551.0,0.1164429187774658
16MR,gcc,14,-O3,1803,1803,1803.0,0.1345052719116211
16MR,gcc,14,-Os,1485,1485,1485.0,0.1179897785186767
16MR,gcc,14,-Ofast,1899,1899,1899.0,0.1300325393676757
18CE,gcc,14,-O0,1438,1438,1438.0,0.086883544921875
18CE,gcc,14,-O1,1441,1441,1441.0,0.0982847213745117
18CE,gcc,14,-O2,1433,1433,1433.0,0.0968158245086669
18CE,gcc,14,-O3,1433,1433,1433.0,0.0969107151031494
18CE,gcc,14,-Os,1426,1426,1426.0,0.1187379360198974
18CE,gcc,14,-Ofast,1529,1529,1529.0,0.1139233112335205
1L7T,gcc,14,-O0,1449,1449,1449.0,0.0879781246185302
1L7T,gcc,14,-O1,1446,1446,1446.0,0.0991485118865966
1L7T,gcc,14,-O2,1438,1438,1438.0,0.1026625633239746
1L7T,gcc,14,-O3,1438,1438,1438.0,0.0935389995574951
1L7T,gcc,14,-Os,1431,1431,1431.0,0.092034101486206
1L7T,gcc,14,-Ofast,1534,1534,1534.0,0.096653938293457
1M4A,gcc,14,-O0,1513,1513,1513.0,0.0918161869049072
1M4A,gcc,14,-O1,1568,1568,1568.0,0.0989279747009277
1M4A,gcc,14,-O2,1551,1551,1551.0,0.1150345802307128
1M4A,gcc,14,-O3,1803,1803,1803.0,0.1246659755706787
1M4A,gcc,14,-Os,1485,1485,1485.0,0.0984299182891845
1M4A,gcc,14,-Ofast,1899,1899,1899.0,0.1281971931457519
1R9F,gcc,14,-O0,1451,1451,1451.0,0.0934591293334961
1R9F,gcc,14,-O1,1444,1444,1444.0,0.0918347835540771
1R9F,gcc,14,-O2,1438,1438,1438.0,0.0923621654510498
1R9F,gcc,14,-O3,1438,1438,1438.0,0.0908854007720947
1R9F,gcc,14,-Os,1431,1431,1431.0,0.0932915210723877
1R9F,gcc,14,-Ofast,1534,1534,1534.0,0.1085281372070312
1ZNW,gcc,14,-O0,1451,1451,1451.0,0.0872969627380371
1ZNW,gcc,14,-O1,1444,1444,1444.0,0.0998706817626953
1ZNW,gcc,14,-O2,1438,1438,1438.0,0.0960052013397216
1ZNW,gcc,14,-O3,1438,1438,1438.0,0.0925593376159668
1ZNW,gcc,14,-Os,1431,1431,1431.0,0.0990552902221679
1ZNW,gcc,14,-Ofast,1534,1534,1534.0,0.0961790084838867
238S,gcc,14,-O0,1469,1469,1469.0,0.0889701843261718
238S,gcc,14,-O1,1280,1280,1280.0,0.0974307060241699
238S,gcc,14,-O2,1433,1433,1433.0,0.1113262176513671
238S,gcc,14,-O3,1433,1433,1433.0,0.0965347290039062
238S,gcc,14,-Os,1426,1426,1426.0,0.0899536609649658
238S,gcc,14,-Ofast,1529,1529,1529.0,0.0940062999725341
2IQY,gcc,14,-O0,1449,1449,1449.0,0.0961053371429443
2IQY,gcc,14,-O1,1446,1446,1446.0,0.0983355045318603
2IQY,gcc,14,-O2,1438,1438,1438.0,0.0913481712341308
2IQY,gcc,14,-O3,1438,1438,1438.0,0.1010639667510986
2IQY,gcc,14,-Os,1431,1431,1431.0,0.1003663539886474
2IQY,gcc,14,-Ofast,1534,1534,1534.0,0.0899052619934082
2XDH,gcc,14,-O0,1467,1467,1467.0,0.0880539417266845
2XDH,gcc,14,-O1,1456,1456,1456.0,0.1013548374176025
2XDH,gcc,14,-O2,1451,1451,1451.0,0.1073436737060546
2XDH,gcc,14,-O3,1451,1451,1451.0,0.0984888076782226
2XDH,gcc,14,-Os,1443,1443,1443.0,0.0933699607849121
2XDH,gcc,14,-Ofast,1547,1547,1547.0,0.0962638854980468
32ID,gcc,14,-O0,1467,1467,1467.0,0.0870416164398193
32ID,gcc,14,-O1,1456,1456,1456.0,0.0966308116912841
32ID,gcc,14,-O2,1451,1451,1451.0,0.0569527149200439
32ID,gcc,14,-O3,1451,1451,1451.0,0.0531609058380126
32ID,gcc,14,-Os,1443,1443,1443.0,0.0522351264953613
32ID,gcc,14,-Ofast,1547,1547,1547.0,0.052718162536621
33OI,gcc,14,-O0,1451,1451,1451.0,0.0486583709716796
33OI,gcc,14,-O1,1441,1441,1441.0,0.0527102947235107
33OI,gcc,14,-O2,1433,1433,1433.0,0.050593614578247
33OI,gcc,14,-O3,1433,1433,1433.0,0.0488276481628418
33OI,gcc,14,-Os,1426,1426,1426.0,0.0501501560211181
33OI,gcc,14,-Ofast,1529,1529,1529.0,0.0510268211364746
36Y2,gcc,14,-O0,1723,1723,1723.0,0.0515098571777343
36Y2,gcc,14,-O1,1684,1684,1684.0,0.0621750354766845
36Y2,gcc,14,-O2,1433,1433,1433.0,0.0502040386199951
36Y2,gcc,14,-O3,1433,1433,1433.0,0.0484840869903564
36Y2,gcc,14,-Os,1426,1426,1426.0,0.048659324645996
36Y2,gcc,14,-Ofast,1529,1529,1529.0,0.0453922748565673
3LZ6,gcc,14,-O0,1438,1438,1438.0,0.040393590927124
3LZ6,gcc,14,-O1,1441,1441,1441.0,0.04298996925354
3LZ6,gcc,14,-O2,1433,1433,1433.0,0.0459022521972656
3LZ6,gcc,14,-O3,1433,1433,1433.0,0.0424842834472656
3LZ6,gcc,14,-Os,1426,1426,1426.0,0.0435445308685302
3LZ6,gcc,14,-Ofast,1529,1529,1529.0,0.0444364547729492
3U1G,gcc,14,-O0,1469,1469,1469.0,0.0404102802276611
3U1G,gcc,14,-O1,1280,1280,1280.0,0.0466761589050293
3U1G,gcc,14,-O2,1433,1433,1433.0,0.0425269603729248
3U1G,gcc,14,-O3,1433,1433,1433.0,0.0439403057098388
3U1G,gcc,14,-Os,1426,1426,1426.0,0.0443437099456787
3U1G,gcc,14,-Ofast,1529,1529,1529.0,0.0574448108673095
3ZPF,gcc,14,-O0,1480,1480,1480.0,0.0401227474212646
3ZPF,gcc,14,-O1,1502,1502,1502.0,0.0444016456604003
3ZPF,gcc,14,-O2,1471,1471,1471.0,0.0491383075714111
3ZPF,gcc,14,-O3,1751,1751,1751.0,0.0515427589416503
