folder_id,file,compiler,version,optimization,bin_min_size,bin_max_size,bin_mean_size,time
EDHR,EDHR1.c,gcc,9,-O0,1367,1367,1367.0,0.6986801624298096
EDHR,EDHR1.c,gcc,9,-O1,1334,1334,1334.0,0.7426788806915283
EDHR,EDHR1.c,gcc,9,-O2,1323,1323,1323.0,0.9123470783233644
EDHR,EDHR1.c,gcc,9,-O3,1323,1323,1323.0,0.9552216529846193
EDHR,EDHR1.c,gcc,9,-Os,1312,1312,1312.0,1.0238711833953855
EDHR,EDHR1.c,gcc,9,-Ofast,1407,1407,1407.0,0.987715482711792
EDHR,EDHR1.c,gcc,10,-O0,1367,1367,1367.0,0.7824733257293701
EDHR,EDHR1.c,gcc,10,-O1,1334,1334,1334.0,0.8163712024688721
EDHR,EDHR1.c,gcc,10,-O2,1323,1323,1323.0,1.0085406303405762
EDHR,EDHR1.c,gcc,10,-O3,1323,1323,1323.0,0.9512903690338136
EDHR,EDHR1.c,gcc,10,-Os,1312,1312,1312.0,0.8721146583557129
EDHR,EDHR1.c,gcc,10,-Ofast,1407,1407,1407.0,0.7337431907653809
EDHR,EDHR1.c,gcc,11,-O0,1374,1374,1374.0,0.7194571495056152
EDHR,EDHR1.c,gcc,11,-O1,1338,1338,1338.0,0.8205218315124512
EDHR,EDHR1.c,gcc,11,-O2,1323,1323,1323.0,1.009049892425537
EDHR,EDHR1.c,gcc,11,-O3,1323,1323,1323.0,1.0073766708374023
EDHR,EDHR1.c,gcc,11,-Os,1316,1316,1316.0,0.8541059494018555
EDHR,EDHR1.c,gcc,11,-Ofast,1407,1407,1407.0,0.8262112140655518
EDHR,EDHR1.c,gcc,12,-O0,1374,1374,1374.0,0.8558988571166992
EDHR,EDHR1.c,gcc,12,-O1,1338,1338,1338.0,0.9761438369750975
EDHR,EDHR1.c,gcc,12,-O2,1323,1323,1323.0,1.0473268032073977
EDHR,EDHR1.c,gcc,12,-O3,1323,1323,1323.0,1.0258147716522217
EDHR,EDHR1.c,gcc,12,-Os,1316,1316,1316.0,0.8704278469085693
EDHR,EDHR1.c,gcc,12,-Ofast,1407,1407,1407.0,0.8942201137542725
EDHR,EDHR10.c,gcc,9,-O0,2118,2118,2118.0,0.9895620346069336
EDHR,EDHR10.c,gcc,9,-O1,1710,1710,1710.0,1.0246601104736328
EDHR,EDHR10.c,gcc,9,-O2,1715,1715,1715.0,1.0757732391357422
EDHR,EDHR10.c,gcc,9,-O3,1715,1715,1715.0,0.973762273788452
EDHR,EDHR10.c,gcc,9,-Os,1675,1675,1675.0,0.949970006942749
EDHR,EDHR10.c,gcc,9,-Ofast,1799,1799,1799.0,1.052504301071167
EDHR,EDHR10.c,gcc,10,-O0,2118,2118,2118.0,1.1399192810058594
EDHR,EDHR10.c,gcc,10,-O1,1724,1724,1724.0,1.132552146911621
EDHR,EDHR10.c,gcc,10,-O2,1715,1715,1715.0,0.9513065814971924
EDHR,EDHR10.c,gcc,10,-O3,1715,1715,1715.0,0.9597394466400146
EDHR,EDHR10.c,gcc,10,-Os,1699,1699,1699.0,1.096764087677002
EDHR,EDHR10.c,gcc,10,-Ofast,1799,1799,1799.0,1.1243054866790771
EDHR,EDHR10.c,gcc,11,-O0,2134,2134,2134.0,1.0202250480651855
EDHR,EDHR10.c,gcc,11,-O1,1728,1728,1728.0,0.978916883468628
EDHR,EDHR10.c,gcc,11,-O2,1703,1703,1703.0,0.9515652656555176
EDHR,EDHR10.c,gcc,11,-O3,1703,1703,1703.0,1.1127564907073977
EDHR,EDHR10.c,gcc,11,-Os,1703,1703,1703.0,1.1412546634674072
EDHR,EDHR10.c,gcc,11,-Ofast,1787,1787,1787.0,1.082263708114624
EDHR,EDHR10.c,gcc,12,-O0,2134,2134,2134.0,0.9807281494140624
EDHR,EDHR10.c,gcc,12,-O1,1728,1728,1728.0,1.142716884613037
EDHR,EDHR10.c,gcc,12,-O2,1703,1703,1703.0,1.0006427764892578
EDHR,EDHR10.c,gcc,12,-O3,1703,1703,1703.0,1.142961025238037
EDHR,EDHR10.c,gcc,12,-Os,1703,1703,1703.0,1.0089964866638184
EDHR,EDHR10.c,gcc,12,-Ofast,1787,1787,1787.0,0.9995532035827636
EDHR,EDHR4.c,gcc,9,-O0,1518,1518,1518.0,0.8904380798339844
EDHR,EDHR4.c,gcc,9,-O1,1442,1442,1442.0,0.8123657703399658
EDHR,EDHR4.c,gcc,9,-O2,1405,1405,1405.0,0.7481021881103516
EDHR,EDHR4.c,gcc,9,-O3,1550,1550,1550.0,0.8387033939361572
EDHR,EDHR4.c,gcc,9,-Os,1366,1366,1366.0,0.8120601177215576
EDHR,EDHR4.c,gcc,9,-Ofast,1638,1638,1638.0,0.9661588668823242
EDHR,EDHR4.c,gcc,10,-O0,1518,1518,1518.0,0.8321671485900879
EDHR,EDHR4.c,gcc,10,-O1,1442,1442,1442.0,0.829493522644043
EDHR,EDHR4.c,gcc,10,-O2,1405,1405,1405.0,0.7418491840362549
EDHR,EDHR4.c,gcc,10,-O3,1550,1550,1550.0,0.8656721115112305
