file,compiler,version,optimization,bin_min_size,bin_max_size,bin_mean_size,time
07DF,gcc,9,-O0,1464,1464,1464.0,3.509441375732422
07DF,gcc,9,-O1,1457,1457,1457.0,2.199519157409668
07DF,gcc,9,-O2,1452,1452,1452.0,2.002509593963623
07DF,gcc,9,-O3,1452,1452,1452.0,2.0341808795928955
07DF,gcc,9,-Os,1444,1444,1444.0,1.84214448928833
07DF,gcc,9,-Ofast,1536,1536,1536.0,1.98993182182312
07DF,gcc,10,-O0,1464,1464,1464.0,2.796037673950196
07DF,gcc,10,-O1,1457,1457,1457.0,2.227325677871704
07DF,gcc,10,-O2,1452,1452,1452.0,2.0081992149353027
07DF,gcc,10,-O3,1452,1452,1452.0,2.074965000152588
07DF,gcc,10,-Os,1444,1444,1444.0,1.6171672344207764
07DF,gcc,10,-Ofast,1536,1536,1536.0,1.9924983978271484
07DF,gcc,11,-O0,1467,1467,1467.0,2.390122652053833
07DF,gcc,11,-O1,1457,1457,1457.0,1.8832521438598635
07DF,gcc,11,-O2,1452,1452,1452.0,1.990717887878418
07DF,gcc,11,-O3,1452,1452,1452.0,2.114262104034424
07DF,gcc,11,-Os,1444,1444,1444.0,2.1724886894226074
07DF,gcc,11,-Ofast,1536,1536,1536.0,2.16388201713562
07DF,gcc,12,-O0,1467,1467,1467.0,4.03028416633606
07DF,gcc,12,-O1,1457,1457,1457.0,2.2600560188293457
07DF,gcc,12,-O2,1452,1452,1452.0,2.504623413085937
07DF,gcc,12,-O3,1452,1452,1452.0,2.4161312580108643
07DF,gcc,12,-Os,1444,1444,1444.0,2.502640008926392
07DF,gcc,12,-Ofast,1536,1536,1536.0,2.3891422748565674
0FIZ,gcc,9,-O0,1435,1435,1435.0,1.839268445968628
0FIZ,gcc,9,-O1,1441,1441,1441.0,1.7344834804534912
0FIZ,gcc,9,-O2,1433,1433,1433.0,1.845534086227417
0FIZ,gcc,9,-O3,1433,1433,1433.0,1.985695123672485
0FIZ,gcc,9,-Os,1426,1426,1426.0,1.7692131996154783
0FIZ,gcc,9,-Ofast,1517,1517,1517.0,1.954256534576416
0FIZ,gcc,10,-O0,1435,1435,1435.0,1.588059902191162
0FIZ,gcc,10,-O1,1441,1441,1441.0,2.0043492317199707
0FIZ,gcc,10,-O2,1433,1433,1433.0,2.0447263717651367
0FIZ,gcc,10,-O3,1433,1433,1433.0,2.0893657207489014
0FIZ,gcc,10,-Os,1426,1426,1426.0,1.923799514770508
0FIZ,gcc,10,-Ofast,1517,1517,1517.0,2.0306546688079834
0FIZ,gcc,11,-O0,1438,1438,1438.0,1.9494624137878416
0FIZ,gcc,11,-O1,1441,1441,1441.0,2.108818292617798
0FIZ,gcc,11,-O2,1433,1433,1433.0,2.0579211711883545
0FIZ,gcc,11,-O3,1433,1433,1433.0,2.2393171787261963
0FIZ,gcc,11,-Os,1426,1426,1426.0,1.9211597442626955
0FIZ,gcc,11,-Ofast,1517,1517,1517.0,2.1306674480438232
0FIZ,gcc,12,-O0,1438,1438,1438.0,2.2112631797790527
0FIZ,gcc,12,-O1,1441,1441,1441.0,2.3606619834899902
0FIZ,gcc,12,-O2,1433,1433,1433.0,2.465636730194092
0FIZ,gcc,12,-O3,1433,1433,1433.0,2.547764301300049
0FIZ,gcc,12,-Os,1426,1426,1426.0,2.3536293506622314
0FIZ,gcc,12,-Ofast,1517,1517,1517.0,2.4412682056427
173B,gcc,9,-O0,1449,1449,1449.0,2.102607727050781
173B,gcc,9,-O1,1447,1447,1447.0,2.3276946544647217
173B,gcc,9,-O2,1442,1442,1442.0,2.051240921020508
173B,gcc,9,-O3,1442,1442,1442.0,2.056347608566284
173B,gcc,9,-Os,1434,1434,1434.0,1.7287983894348145
173B,gcc,9,-Ofast,1526,1526,1526.0,1.9432084560394287
