Program,cpu-cycles_mean,cpu-cycles_std_dev,cpu-cycles_ic_low,cpu-cycles_ic_high,instructions_mean,instructions_std_dev,instructions_ic_low,instructions_ic_high,cache-references_mean,cache-references_std_dev,cache-references_ic_low,cache-references_ic_high,cache-misses_mean,cache-misses_std_dev,cache-misses_ic_low,cache-misses_ic_high
array5_1,81120558.26666667,1307312.883971595,80624054.41625555,81617062.11707778,179141041.2,1.137248140615465,179141040.76808497,179141041.631915,32644.8,7520.348668335354,29788.649711846247,35500.950288153756,9009.566666666668,1524.3201038131358,8430.645728854865,9588.48760447847
array5_2,319719.93333333335,44389.685155400184,302861.1921181186,336578.6745485481,128593.53333333334,0.7180219742846006,128593.26063604772,128593.80603061896,11578.433333333332,962.105942999811,11213.035492418916,11943.831174247749,5514.9,913.8099492418177,5167.844475721694,5861.955524278305
array5_3,6123658.1,535434.4166405662,5920305.671699106,6327010.5283008935,12577444.066666666,1.3646326326972482,12577443.54839337,12577444.584939962,15301.966666666667,2525.066394946654,14342.972685190722,16260.960648142613,6242.6,675.3051952018928,5986.126103252531,6499.07389674747
array5_4,366399.26666666666,64501.82438811754,341902.14393507614,390896.3893982572,250720.6,0.7999999999999999,250720.29616831196,250720.90383168805,11725.233333333334,1277.5164365109183,11240.045864084055,12210.420802582612,5479.133333333333,1053.4608593688815,5079.039844355362,5879.226822311304
array5_5,6186538.866666666,143518.87504941254,6132031.889077472,6241045.844255861,13158682.966666667,0.9122621455602674,13158682.620198982,13158683.313134352,13824.766666666666,1743.955230375928,13162.430589785272,14487.102743548061,5848.5,624.5273813052555,5611.310989391301,6085.689010608699
array5_6,1827136.9,378578.009342183,1683356.9054601067,1970916.8945398931,3663656.033333333,0.9480975102218595,3663655.6732557495,3663656.393410917,12249.633333333333,1799.2276765941053,11566.305355656474,12932.961311010193,5877.7,652.1679308276358,5630.01339586675,6125.386604133249
array5_7,5987967.2,244036.27182796685,5895284.759485484,6080649.640514516,12577443.733333332,1.0934146311237816,12577443.318065817,12577444.148600848,13568.933333333332,1982.8853208280996,12815.854090570958,14322.012576095707,5905.7,694.061531854345,5642.102641469412,6169.297358530587
array5_8,336721.6666666667,58273.98741367273,314589.81171102787,358853.5216223055,128593.7,1.0999999999999999,128593.28223142895,128594.11776857104,12044.8,1213.1423219611677,11584.061150612599,12505.5388493874,5750.5,386.19759622935686,5603.826165527519,5897.173834472481
array5_9,5750399.166666667,289677.50906068896,5640382.658461538,5860415.674871796,12123089.0,5.403702434442518,12123086.94772996,12123091.05227004,13356.4,1960.5079035800902,12611.819467808073,14100.980532191927,5828.266666666666,613.6719500044159,5595.200436078589,6061.332897254744
array5_10,5649789.766666667,97977.10937277929,5612579.0785045875,5687000.454828746,12123088.066666666,0.9637888196533974,12123087.700629687,12123088.432703646,12707.6,1067.4693937845088,12302.186215199008,13113.013784800993,5665.666666666667,446.0509935970201,5496.261133748018,5835.0721995853155
