model_name,seconds,code_name,caracteristcs,length
deepseek-ai/DeepSeek-Coder-V2-Lite-Instruct,124.40828609466553,S1BF0,0,79
deepseek-ai/DeepSeek-Coder-V2-Lite-Instruct,232.1937370300293,S1BF1,1,162
deepseek-ai/DeepSeek-Coder-V2-Lite-Instruct,121.28157043457031,S1BF2,2,79
deepseek-ai/DeepSeek-Coder-V2-Lite-Instruct,253.92968201637268,S1BF3,3,179
deepseek-ai/DeepSeek-Coder-V2-Lite-Instruct,121.58515524864197,S1BF4,4,79
deepseek-ai/DeepSeek-Coder-V2-Lite-Instruct,130.89193034172058,S1BF5,5,86
deepseek-ai/DeepSeek-Coder-V2-Lite-Instruct,238.7389132976532,S1BF6,6,168
deepseek-ai/DeepSeek-Coder-V2-Lite-Instruct,248.50240802764893,S1BF7,7,173
deepseek-ai/DeepSeek-Coder-V2-Lite-Instruct,246.27690410614014,S1BF8,8,173
deepseek-ai/DeepSeek-Coder-V2-Lite-Instruct,246.0844657421112,S1BF9,9,173
deepseek-ai/DeepSeek-Coder-V2-Lite-Instruct,121.48783016204834,S1BF10,10,79
deepseek-ai/DeepSeek-Coder-V2-Lite-Instruct,231.27225375175476,S1BF11,11,162
deepseek-ai/DeepSeek-Coder-V2-Lite-Instruct,245.5961103439331,S1BF12,12,173
deepseek-ai/DeepSeek-Coder-V2-Lite-Instruct,120.34283900260925,S1BF13,13,78
deepseek-ai/DeepSeek-Coder-V2-Lite-Instruct,121.4345235824585,S1BF14,14,79
deepseek-ai/DeepSeek-Coder-V2-Lite-Instruct,245.50159454345703,S1BF15,15,173
deepseek-ai/DeepSeek-Coder-V2-Lite-Instruct,245.5276744365692,S1BF16,16,173
deepseek-ai/DeepSeek-Coder-V2-Lite-Instruct,121.29653286933899,S1BF17,17,79
deepseek-ai/DeepSeek-Coder-V2-Lite-Instruct,309.82993721961975,S1BF18,18,221
deepseek-ai/DeepSeek-Coder-V2-Lite-Instruct,121.76786923408508,S1BF19,19,79
deepseek-ai/DeepSeek-Coder-V2-Lite-Instruct,246.21479439735413,S1BF20,20,173
