Program,cpu-cycles,instructions,cache-references,cache-misses,branch-instructions
S1BF0.out,10507128,6147811,82855,22018,1205778
S1BF0.out,10773759,6119377,80352,31743,1200854
S1BF0.out,10745894,6138785,69038,18504,1203847
S1BF0.out,10700695,6158328,76880,31795,1207226
S1BF0.out,10764944,6134669,74058,22359,1203032
S1BF0.out,10822684,6125774,70792,26422,1201565
S1BF0.out,11048997,6157890,74496,34133,1208387
S1BF0.out,11398312,6478981,94808,52069,1247318
S1BF0.out,11039196,6160992,81174,34591,1207968
S1BF0.out,11294805,6143874,86512,39928,1204584
S1BF0.out,10539043,6142984,75297,30008,1204970
S1BF0.out,10624178,6179902,80375,30429,1211196
S1BF0.out,10864207,6130325,74480,26055,1202725
S1BF0.out,10530039,6151590,76511,16455,1205579
S1BF0.out,10599324,6124828,64206,12119,1201196
S1BF0.out,10597379,6130062,64271,11547,1202153
S1BF0.out,10531718,6196833,70590,14134,1213270
S1BF0.out,10568452,6141930,70774,15705,1203963
S1BF0.out,10577968,6127717,68822,13774,1202271
S1BF0.out,10758660,6162925,69708,15060,1207612
S1BF0.out,10565491,6148742,71551,13347,1205755
S1BF0.out,10662482,6148483,73574,13942,1205379
S1BF0.out,10606553,6137027,70860,16944,1203429
S1BF0.out,10711004,6160605,74259,19398,1207554
S1BF0.out,10742801,6147161,77738,24385,1205568
S1BF0.out,10750521,6151674,73334,18313,1205874
S1BF0.out,10608742,6124865,70259,18465,1201854
S1BF0.out,10601820,6172393,76754,17793,1209395
S1BF0.out,10681076,6138663,66052,16855,1203784
S1BF0.out,10575626,6133191,70419,18397,1202831
S1BF0.out,10574340,6123732,69747,17970,1200769
S1BF0.out,10702061,6127830,73917,24460,1201940
S1BF0.out,10863040,6137443,71857,35071,1203385
S1BF0.out,10981160,6131237,74758,37100,1202848
S1BF0.out,10884916,6158822,74640,34886,1207430
S1BF0.out,11079202,6122669,70605,32949,1201614
S1BF0.out,11556688,6163291,77085,38448,1207956
S1BF0.out,10815156,6178672,77989,28210,1210735
S1BF0.out,10546358,6137840,83781,31389,1203958
S1BF0.out,10814549,6151207,82400,25108,1206341
S1BF0.out,9879097,6134113,77481,18766,1203028
S1BF0.out,10632805,6148194,76129,15244,1205428
S1BF0.out,10743371,6162709,78591,26908,1208015
S1BF0.out,10690246,6159233,76307,17462,1207606
S1BF0.out,10556981,6127540,74122,14283,1201805
S1BF0.out,10749574,6137782,75689,20862,1203868
S1BF0.out,10477144,6116421,62845,12336,1200470
S1BF0.out,10589612,6153532,70854,13446,1206342
S1BF0.out,10472529,6146570,71659,12641,1205321
S1BF0.out,10662580,6159029,77335,14144,1206908
S1BF0.out,10512579,6152393,74475,13940,1205984
S1BF0.out,10476665,6135322,68475,12761,1203243
S1BF0.out,10602937,6134646,65573,11800,1203176
S1BF0.out,10470982,6138039,67814,13143,1203419
S1BF0.out,10828998,6174950,71115,14451,1209434
S1BF0.out,10560388,6135527,73297,13906,1203501
S1BF0.out,10692046,6141279,70947,16099,1204189
S1BF0.out,10704449,6161453,73832,18539,1207198
S1BF0.out,10598001,6134386,70076,18428,1203024
S1BF0.out,10648541,6131075,65647,17513,1203010
S1BF0.out,10599963,6130423,70890,21022,1202776
S1BF0.out,10795217,6142943,73227,23128,1204880
S1BF0.out,10700551,6140315,72819,29029,1204538
S1BF0.out,11089583,6147136,80480,38230,1205535
S1BF0.out,10931003,6145589,74100,30459,1204445
S1BF0.out,10786011,6169638,98030,32460,1209121
S1BF0.out,10825555,6145828,79315,36521,1205164
S1BF0.out,10844513,6145891,75588,28804,1204176
S1BF0.out,11058020,6194908,97774,40788,1211044
S1BF0.out,10669854,6138988,74456,29419,1204367
S1BF0.out,10923610,6165587,76742,30765,1208815
S1BF0.out,10653464,6128211,72493,18429,1202160
S1BF0.out,10611379,6141748,68321,14451,1204553
