id,Program,cpu-cycles,instructions,cache-references,cache-misses,branch-instructions
0,30OQ0.out,23827720,26256661,541490,198485,5565600
1,30OQ1.out,24616301,27056470,554999,221658,5662373
3,30OQ3.out,25874926,25701046,528609,199696,5458043
4,30OQ4.out,24086855,25829669,508186,224992,5470669
5,30OQ5.out,23072427,25790343,503114,152990,5461818
6,30OQ6.out,23939826,25761454,479917,191930,5462831
7,30OQ7.out,25108789,25961159,477906,203180,5497272
8,30OQ8.out,22986574,25690066,460325,155992,5448878
9,30OQ9.out,24112090,25817713,514054,198331,5476658
10,30OQ10.out,25806689,25665306,509882,234209,5448174
11,30OQ11.out,23640389,25995176,523618,172634,5501275
12,30OQ12.out,22762540,25692920,502568,152431,5449495
13,30OQ13.out,23700576,25600573,499458,178827,5435684
14,30OQ14.out,26032933,25653305,522033,238121,5444604
15,30OQ15.out,23204736,25790644,514565,177525,5472340
16,30OQ16.out,23158987,25736130,489819,171082,5463423
17,30OQ17.out,27389489,25784181,503528,204948,5470898
18,30OQ18.out,23533331,25571490,501746,197124,5430926
20,30OQ20.out,23654224,25847027,484193,175511,5487775
21,30OQ21.out,25413101,25705300,510767,222125,5459292
22,30OQ22.out,23294933,25624344,500849,199737,5440600
23,30OQ23.out,22916562,25694346,505929,163177,5452746
24,30OQ24.out,23598202,25692388,521364,199821,5451472
25,30OQ25.out,24701367,25745806,500860,177538,5464012
26,30OQ26.out,27114895,26688007,549333,245932,5578233
27,30OQ27.out,27363784,26378056,520538,219528,5586619
28,30OQ28.out,25666748,26130477,522735,242289,5540126
29,30OQ29.out,22956498,25672711,498802,165567,5448184
30,30OQ30.out,27295077,25577709,542541,222453,5431686
