Regression Analysis Report
Generated on: 2025-04-25 07:11:03
============================================================

Found 334 regression(s):

1. Regression found (-Os worse than -O2): ../../code/codes/FAZI | FAZI2.c | gcc-9 | Seconds until this regression: 39.996912240982056
2. Regression found (-Os worse than -O2): ../../code/codes/FAZI | FAZI2.c | gcc-10 | Seconds until this regression: 39.996912240982056
3. Regression found (-Os worse than -O2): ../../code/codes/FAZI | FAZI2.c | gcc-11 | Seconds until this regression: 39.996912240982056
4. Regression found (-Os worse than -O2): ../../code/codes/FAZI | FAZI2.c | gcc-12 | Seconds until this regression: 39.996912240982056
5. Regression found (-Os worse than -O3): ../../code/codes/FAZI | FAZI3.c | gcc-12 | Seconds until this regression: 53.57597589492798
6. Regression found (-Os worse than -O3): ../../code/codes/FAZI | FAZI4.c | gcc-12 | Seconds until this regression: 71.14784932136536
7. Regression found (-Os worse than -O3): ../../code/codes/FAZI | FAZI5.c | gcc-12 | Seconds until this regression: 89.68982243537903
8. Regression found (-Os worse than -O3): ../../code/codes/FAZI | FAZI6.c | gcc-12 | Seconds until this regression: 110.78635740280151
9. Regression found (-Os worse than -O3): ../../code/codes/FAZI | FAZI7.c | gcc-12 | Seconds until this regression: 119.84724235534668
10. Regression found (-Os worse than -O2): ../../code/codes/TPBQ | TPBQ1.c | gcc-9 | Seconds until this regression: 133.4942877292633
11. Regression found (-Os worse than -O2): ../../code/codes/TPBQ | TPBQ1.c | gcc-10 | Seconds until this regression: 133.4942877292633
12. Regression found (-Os worse than -O2): ../../code/codes/TPBQ | TPBQ1.c | gcc-11 | Seconds until this regression: 133.4942877292633
13. Regression found (-Os worse than -O2): ../../code/codes/TPBQ | TPBQ1.c | gcc-12 | Seconds until this regression: 133.4942877292633
14. Regression found (-Os worse than -O1): ../../code/codes/TPBQ | TPBQ2.c | gcc-9 | Seconds until this regression: 170.369202375412
15. Regression found (-Os worse than -O1): ../../code/codes/TPBQ | TPBQ2.c | gcc-10 | Seconds until this regression: 170.369202375412
16. Regression found (-Os worse than -O1): ../../code/codes/TPBQ | TPBQ2.c | gcc-11 | Seconds until this regression: 170.369202375412
17. Regression found (-Os worse than -O1): ../../code/codes/TPBQ | TPBQ2.c | gcc-12 | Seconds until this regression: 170.369202375412
18. Regression found (-Os worse than -O1): ../../code/codes/TPBQ | TPBQ4.c | gcc-12 | Seconds until this regression: 221.39758896827698
19. Regression found (-Os worse than -O1): ../../code/codes/OJNS | OJNS3.c | gcc-9 | Seconds until this regression: 535.8586928844452
20. Regression found (-Os worse than -O1): ../../code/codes/OJNS | OJNS3.c | gcc-10 | Seconds until this regression: 535.8586928844452
21. Regression found (-Os worse than -O1): ../../code/codes/OJNS | OJNS3.c | gcc-11 | Seconds until this regression: 535.8586928844452
22. Regression found (-Os worse than -O1): ../../code/codes/OJNS | OJNS3.c | gcc-12 | Seconds until this regression: 535.8586928844452
23. Regression found (-Os worse than -O1): ../../code/codes/OJNS | OJNS4.c | gcc-9 | Seconds until this regression: 570.3084917068481
24. Regression found (-Os worse than -O1): ../../code/codes/OJNS | OJNS4.c | gcc-10 | Seconds until this regression: 570.3084917068481
25. Regression found (-Os worse than -O1): ../../code/codes/OJNS | OJNS4.c | gcc-11 | Seconds until this regression: 570.3084917068481
26. Regression found (-Os worse than -O1): ../../code/codes/OJNS | OJNS4.c | gcc-12 | Seconds until this regression: 570.3084917068481
27. Regression found (-Os worse than -O1): ../../code/codes/OJNS | OJNS5.c | gcc-9 | Seconds until this regression: 587.6201605796814
28. Regression found (-Os worse than -O1): ../../code/codes/OJNS | OJNS5.c | gcc-10 | Seconds until this regression: 587.6201605796814
29. Regression found (-Os worse than -O1): ../../code/codes/OJNS | OJNS5.c | gcc-11 | Seconds until this regression: 587.6201605796814
30. Regression found (-Os worse than -O1): ../../code/codes/OJNS | OJNS5.c | gcc-12 | Seconds until this regression: 587.6201605796814
31. Regression found (-Os worse than -O1): ../../code/codes/OJNS | OJNS6.c | gcc-9 | Seconds until this regression: 613.4516017436981
32. Regression found (-Os worse than -O1): ../../code/codes/OJNS | OJNS6.c | gcc-10 | Seconds until this regression: 613.4516017436981
33. Regression found (-Os worse than -O1): ../../code/codes/OJNS | OJNS6.c | gcc-11 | Seconds until this regression: 613.4516017436981
34. Regression found (-Os worse than -O1): ../../code/codes/OJNS | OJNS6.c | gcc-12 | Seconds until this regression: 613.4516017436981
35. Regression found (-Os worse than -O1): ../../code/codes/OJNS | OJNS7.c | gcc-9 | Seconds until this regression: 639.2548606395721
36. Regression found (-Os worse than -O1): ../../code/codes/OJNS | OJNS7.c | gcc-10 | Seconds until this regression: 639.2548606395721
37. Regression found (-Os worse than -O1): ../../code/codes/OJNS | OJNS7.c | gcc-11 | Seconds until this regression: 639.2548606395721
38. Regression found (-Os worse than -O1): ../../code/codes/OJNS | OJNS7.c | gcc-12 | Seconds until this regression: 639.2548606395721
39. Regression found (-Os worse than -O3): ../../code/codes/BRAM | BRAM2.c | gcc-9 | Seconds until this regression: 737.3020203113556
40. Regression found (-Os worse than -O3): ../../code/codes/BRAM | BRAM2.c | gcc-10 | Seconds until this regression: 737.3020203113556
41. Regression found (-Os worse than -O3): ../../code/codes/BRAM | BRAM2.c | gcc-11 | Seconds until this regression: 737.3020203113556
42. Regression found (-Os worse than -O3): ../../code/codes/BRAM | BRAM2.c | gcc-12 | Seconds until this regression: 737.3020203113556
43. Regression found (-Os worse than -O3): ../../code/codes/BRAM | BRAM3.c | gcc-9 | Seconds until this regression: 768.4664397239685
44. Regression found (-Os worse than -O3): ../../code/codes/BRAM | BRAM3.c | gcc-10 | Seconds until this regression: 768.4664397239685
45. Regression found (-Os worse than -O3): ../../code/codes/BRAM | BRAM3.c | gcc-11 | Seconds until this regression: 768.4664397239685
